Batch_ID,Stage,Start_Time_Min,End_Time_Min,Duration_Min
Хлеб «Тартин бездрожжевой»_batch_3,Комбинирование,0,4,4
Немецкий хлеб_batch_1,Комбинирование,4,8,4
Хлеб «Тартин бездрожжевой»_batch_3,Смешивание,4,12,8
Немецкий хлеб_batch_1,Смешивание,8,20,12
Немецкий хлеб_batch_2,Комбинирование,8,12,4
Хлеб «Тартин бездрожжевой»_batch_3,Формовка,12,192,180
Формовой_batch_9,Комбинирование,14,35,21
Немецкий хлеб_batch_1,Формовка,20,50,30
Немецкий хлеб_batch_2,Смешивание,27,39,12
Бородинский_batch_1,Комбинирование,35,56,21
Формовой_batch_9,Смешивание,49,61,12
Немецкий хлеб_batch_1,Расстойка,50,120,70
Немецкий хлеб_batch_2,Формовка,50,80,30
Немецкий хлеб_batch_3,Комбинирование,56,60,4
Формовой_batch_12,Комбинирование,66,87,21
Бородинский_batch_1,Смешивание,69,79,10
Немецкий хлеб_batch_3,Смешивание,73,85,12
Немецкий хлеб_batch_2,Расстойка,80,150,70
Формовой_batch_9,Формовка,80,91,11
Бородинский_batch_8,Комбинирование,87,108,21
Бородинский_batch_1,Формовка,91,102,11
Формовой_batch_9,Расстойка,93,118,25
Формовой_batch_12,Смешивание,101,113,12
Немецкий хлеб_batch_3,Формовка,102,132,30
Бородинский_batch_1,Расстойка,104,124,20
Бородинский_batch_7,Комбинирование,109,130,21
Бородинский_batch_8,Смешивание,117,127,10
Формовой_batch_9,Выпекание,118,163,45
Немецкий хлеб_batch_1,Выпекание,120,160,40
Бородинский_batch_1,Выпекание,124,179,55
Бородинский_batch_7,Смешивание,130,140,10
Сэндвич_batch_1,Комбинирование,130,134,4
Немецкий хлеб_batch_3,Расстойка,132,202,70
Формовой_batch_12,Формовка,132,143,11
Бородинский_batch_5,Комбинирование,134,155,21
Сэндвич_batch_1,Смешивание,140,148,8
Бородинский_batch_8,Формовка,143,154,11
Формовой_batch_12,Расстойка,145,170,25
Немецкий хлеб_batch_2,Выпекание,150,190,40
Бородинский_batch_7,Формовка,154,165,11
Бородинский_batch_3,Комбинирование,155,176,21
Бородинский_batch_8,Расстойка,156,176,20
Немецкий хлеб_batch_1,Остывание,160,320,160
Формовой_batch_9,Остывание,163,253,90
Сэндвич_batch_1,Формовка,165,225,60
Бородинский_batch_5,Смешивание,168,178,10
Формовой_batch_12,Выпекание,170,215,45
Бородинский_batch_8,Выпекание,176,231,55
Бородинский_batch_2,Комбинирование,177,198,21
Бородинский_batch_7,Расстойка,177,197,20
Бородинский_batch_1,Остывание,179,299,120
Бородинский_batch_3,Смешивание,189,199,10
Немецкий хлеб_batch_2,Остывание,190,350,160
Бородинский_batch_5,Формовка,192,203,11
Бородинский_batch_7,Выпекание,197,252,55
Сэндвич_batch_3,Комбинирование,198,202,4
Немецкий хлеб_batch_3,Выпекание,202,242,40
Сэндвич_batch_4,Комбинирование,202,206,4
Бородинский_batch_3,Формовка,203,214,11
Бородинский_batch_5,Расстойка,203,223,20
Сэндвич_batch_4,Смешивание,206,214,8
Формовой_batch_2,Комбинирование,206,227,21
Сэндвич_batch_3,Смешивание,208,216,8
Бородинский_batch_2,Смешивание,210,220,10
Сэндвич_batch_4,Формовка,214,274,60
Бородинский_batch_3,Расстойка,215,235,20
Формовой_batch_12,Остывание,215,305,90
Бородинский_batch_5,Выпекание,224,279,55
Бородинский_batch_2,Формовка,225,236,11
Бородинский_batch_6,Комбинирование,227,248,21
Бородинский_batch_8,Остывание,231,351,120
Сэндвич_batch_1,Расстойка,235,285,50
Бородинский_batch_3,Выпекание,236,291,55
Сэндвич_batch_3,Формовка,236,296,60
Немецкий хлеб_batch_3,Остывание,242,402,160
Формовой_batch_2,Смешивание,242,254,12
Бородинский_batch_2,Расстойка,248,268,20
Чиабатта_batch_2,Комбинирование,248,252,4
Бородинский_batch_7,Остывание,252,372,120
Диета_batch_1,Комбинирование,252,273,21
Формовой_batch_9,Упаковка,253,263,10
Бородинский_batch_6,Смешивание,261,271,10
Чиабатта_batch_2,Смешивание,261,276,15
Бородинский_batch_2,Выпекание,268,323,55
Бородинский_batch_4,Комбинирование,273,294,21
Диета_batch_1,Смешивание,273,283,10
Сэндвич_batch_4,Расстойка,274,324,50
Формовой_batch_2,Формовка,274,285,11
Бородинский_batch_5,Остывание,279,399,120
Бородинский_batch_6,Формовка,285,296,11
Сэндвич_batch_1,Выпекание,285,310,25
Бородинский_batch_3,Остывание,291,411,120
Бородинский_batch_4,Смешивание,294,304,10
Сэндвич_batch_2,Комбинирование,294,298,4
Диета_batch_1,Формовка,296,307,11
Сэндвич_batch_3,Расстойка,296,346,50
Чиабатта_batch_2,Формовка,296,316,20
