Date,Algorithm,ExecutionTime_sec
Январь 3,CP-SAT,2.4163994789123535
Январь 3,GA,4.313756942749023
Январь 3,DQN,131.2012586593628
Январь 4,CP-SAT,1.697800874710083
Январь 4,GA,3.6509897708892822
Январь 4,DQN,112.20833849906921
Январь 6,CP-SAT,2.6756062507629395
Январь 6,GA,5.304202556610107
Январь 6,DQN,170.7611300945282
Январь 7,CP-SAT,2.5389413833618164
Январь 7,GA,5.244098424911499
Январь 7,DQN,172.8222415447235
Январь 8,CP-SAT,1.9250719547271729
Январь 8,GA,5.366298675537109
Январь 8,DQN,166.9737424850464
Январь 10,CP-SAT,1.1039495468139648
Январь 10,GA,3.8588035106658936
Январь 10,DQN,121.52373480796814
