Batch_ID,Stage,Start_Time_Min,End_Time_Min,Duration_Min,Machine_ID
Формовой_batch_1,Комбинирование,0,21,21,0
Формовой_batch_1,Смешивание,21,33,12,0
Формовой_batch_1,Формовка,33,44,11,0
Формовой_batch_1,Расстойка,44,69,25,0
Формовой_batch_1,Выпекание,69,114,45,0
Формовой_batch_1,Остывание,114,204,90,0
Формовой_batch_1,Упаковка,204,214,10,0
Формовой_batch_2,Комбинирование,21,42,21,0
Формовой_batch_2,Смешивание,42,54,12,0
Формовой_batch_2,Формовка,54,65,11,0
Формовой_batch_2,Расстойка,65,90,25,1
Формовой_batch_2,Выпекание,90,135,45,1
Формовой_batch_2,Остывание,135,225,90,1
Формовой_batch_2,Упаковка,225,235,10,0
Формовой_batch_3,Комбинирование,42,63,21,0
Формовой_batch_3,Смешивание,63,75,12,0
Формовой_batch_3,Формовка,75,86,11,0
Формовой_batch_3,Расстойка,86,111,25,0
Формовой_batch_3,Выпекание,111,156,45,2
Формовой_batch_3,Остывание,156,246,90,2
Формовой_batch_3,Упаковка,246,256,10,0
Формовой_batch_4,Комбинирование,63,84,21,0
Формовой_batch_4,Смешивание,84,96,12,0
Формовой_batch_4,Формовка,96,107,11,0
Формовой_batch_4,Расстойка,107,132,25,1
Формовой_batch_4,Выпекание,132,177,45,0
Формовой_batch_4,Остывание,177,267,90,3
Формовой_batch_4,Упаковка,267,277,10,0
Бородинский_batch_1,Комбинирование,84,105,21,0
Бородинский_batch_1,Смешивание,105,115,10,0
Бородинский_batch_1,Формовка,115,126,11,0
Бородинский_batch_1,Расстойка,126,146,20,0
Бородинский_batch_1,Выпекание,146,201,55,1
Бородинский_batch_1,Остывание,201,321,120,4
Бородинский_batch_1,Упаковка,321,336,15,0
Бородинский_batch_2,Комбинирование,105,126,21,0
Бородинский_batch_2,Смешивание,126,136,10,0
Бородинский_batch_2,Формовка,136,147,11,0
Бородинский_batch_2,Расстойка,147,167,20,0
Бородинский_batch_2,Выпекание,167,222,55,2
Бородинский_batch_2,Остывание,222,342,120,0
Бородинский_batch_2,Упаковка,342,357,15,0
Домашний_batch_1,Комбинирование,126,147,21,0
Домашний_batch_1,Смешивание,147,157,10,0
Домашний_batch_1,Формовка,157,168,11,0
Домашний_batch_1,Расстойка,168,193,25,0
Домашний_batch_1,Выпекание,193,210,17,0
Домашний_batch_1,Остывание,210,270,60,5
Домашний_batch_1,Упаковка,270,280,10,1
Домашний_batch_2,Комбинирование,147,168,21,0
Домашний_batch_2,Смешивание,168,178,10,0
Домашний_batch_2,Формовка,178,189,11,0
Домашний_batch_2,Расстойка,189,214,25,1
Домашний_batch_2,Выпекание,214,231,17,0
Домашний_batch_2,Остывание,231,291,60,1
Домашний_batch_2,Упаковка,291,301,10,1
Домашний_batch_3,Комбинирование,168,189,21,0
Домашний_batch_3,Смешивание,189,199,10,0
Домашний_batch_3,Формовка,199,210,11,0
Домашний_batch_3,Расстойка,210,235,25,0
Домашний_batch_3,Выпекание,235,252,17,0
Домашний_batch_3,Остывание,252,312,60,2
Домашний_batch_3,Упаковка,312,322,10,1
Багет луковый_batch_1,Комбинирование,189,210,21,0
Багет луковый_batch_1,Смешивание,210,220,10,0
Багет луковый_batch_1,Формовка,220,231,11,0
Багет луковый_batch_1,Расстойка,231,251,20,1
Багет луковый_batch_1,Выпекание,251,269,18,1
Багет луковый_batch_1,Остывание,269,314,45,3
Багет луковый_batch_1,Упаковка,314,324,10,2
Багет луковый_batch_2,Комбинирование,210,231,21,0
Багет луковый_batch_2,Смешивание,231,241,10,0
Багет луковый_batch_2,Формовка,241,252,11,0
Багет луковый_batch_2,Расстойка,252,272,20,0
Багет луковый_batch_2,Выпекание,272,290,18,0
Багет луковый_batch_2,Остывание,290,335,45,5
Багет луковый_batch_2,Упаковка,335,345,10,1
Багет луковый_batch_3,Комбинирование,231,252,21,0
Багет луковый_batch_3,Смешивание,252,262,10,0
Багет луковый_batch_3,Формовка,262,273,11,0
Багет луковый_batch_3,Расстойка,273,293,20,0
Багет луковый_batch_3,Выпекание,293,311,18,0
Багет луковый_batch_3,Остывание,311,356,45,1
Багет луковый_batch_3,Упаковка,356,366,10,1
Чиабатта (ориг.)_batch_1,Комбинирование,252,256,4,0
Чиабатта (ориг.)_batch_1,Смешивание,256,271,15,1
Чиабатта (ориг.)_batch_1,Формовка,271,291,20,1
Чиабатта (ориг.)_batch_1,Расстойка,291,321,30,1
Чиабатта (ориг.)_batch_1,Выпекание,321,346,25,0
Чиабатта (ориг.)_batch_1,Остывание,346,406,60,0
Чиабатта (ориг.)_batch_1,Упаковка,406,421,15,0
Чиабатта (ориг.)_batch_2,Комбинирование,256,260,4,0
Чиабатта (ориг.)_batch_2,Смешивание,260,275,15,2
Чиабатта (ориг.)_batch_2,Формовка,275,295,20,0
Чиабатта (ориг.)_batch_2,Расстойка,295,325,30,0
Чиабатта (ориг.)_batch_2,Выпекание,325,350,25,1
Чиабатта (ориг.)_batch_2,Остывание,350,410,60,2
Чиабатта (ориг.)_batch_2,Упаковка,410,425,15,1
Хлеб «Тартин бездрожжевой» (ориг.)_batch_1,Комбинирование,260,264,4,0
Хлеб «Тартин бездрожжевой» (ориг.)_batch_1,Смешивание,264,272,8,0
Хлеб «Тартин бездрожжевой» (ориг.)_batch_1,Формовка,291,471,180,1
Хлеб «Тартин бездрожжевой» (ориг.)_batch_1,Выпекание,471,489,18,0
Хлеб «Тартин бездрожжевой» (ориг.)_batch_1,Остывание,489,529,40,0
Хлеб «Тартин бездрожжевой» (ориг.)_batch_1,Упаковка,529,544,15,0
Булочка (ориг.)_batch_1,Комбинирование,264,268,4,0
Булочка (ориг.)_batch_1,Смешивание,271,282,11,1
Булочка (ориг.)_batch_1,Формовка,295,317,22,0
Булочка (ориг.)_batch_1,Расстойка,317,362,45,2
Булочка (ориг.)_batch_1,Выпекание,362,384,22,1
Булочка (ориг.)_batch_1,Остывание,384,459,75,1
Булочка (ориг.)_batch_1,Упаковка,459,474,15,1
Булочка (ориг.)_batch_2,Комбинирование,268,272,4,0
Булочка (ориг.)_batch_2,Смешивание,272,283,11,0
Булочка (ориг.)_batch_2,Формовка,317,339,22,0
Булочка (ориг.)_batch_2,Расстойка,339,384,45,0
Булочка (ориг.)_batch_2,Выпекание,384,406,22,1
Булочка (ориг.)_batch_2,Остывание,406,481,75,3
Булочка (ориг.)_batch_2,Упаковка,481,496,15,1
Булочка (ориг.)_batch_3,Комбинирование,272,276,4,0
Булочка (ориг.)_batch_3,Смешивание,276,287,11,2
Булочка (ориг.)_batch_3,Формовка,339,361,22,0
Булочка (ориг.)_batch_3,Расстойка,361,406,45,1
Булочка (ориг.)_batch_3,Выпекание,406,428,22,1
Булочка (ориг.)_batch_3,Остывание,428,503,75,2
Булочка (ориг.)_batch_3,Упаковка,503,518,15,1
