Batch_ID,Product,Stage,Start_Time_Min,End_Time_Min,Duration_Min
Формовой_batch_1,Формовой,Комбинирование,0,21,21
Формовой_batch_2,Формовой,Комбинирование,0,21,21
Формовой_batch_1,Формовой,Смешивание,21,33,12
Формовой_batch_2,Формовой,Смешивание,21,33,12
Формовой_batch_3,Формовой,Комбинирование,21,42,21
Формовой_batch_4,Формовой,Комбинирование,21,42,21
Формовой_batch_1,Формовой,Формовка,33,44,11
Формовой_batch_2,Формовой,Формовка,33,44,11
Формовой_batch_3,Формовой,Смешивание,42,54,12
Формовой_batch_4,Формовой,Смешивание,42,54,12
Формовой_batch_5,Формовой,Комбинирование,42,63,21
Формовой_batch_6,Формовой,Комбинирование,42,63,21
Формовой_batch_1,Формовой,Расстойка,44,69,25
Формовой_batch_2,Формовой,Расстойка,44,69,25
Формовой_batch_3,Формовой,Формовка,54,65,11
Формовой_batch_4,Формовой,Формовка,54,65,11
Формовой_batch_5,Формовой,Смешивание,63,75,12
Формовой_batch_6,Формовой,Смешивание,63,75,12
Формовой_batch_7,Формовой,Комбинирование,63,84,21
Формовой_batch_8,Формовой,Комбинирование,63,84,21
Формовой_batch_3,Формовой,Расстойка,65,90,25
Формовой_batch_4,Формовой,Расстойка,65,90,25
Формовой_batch_1,Формовой,Выпекание,69,114,45
Формовой_batch_2,Формовой,Выпекание,69,114,45
Формовой_batch_5,Формовой,Формовка,75,86,11
Формовой_batch_6,Формовой,Формовка,75,86,11
Формовой_batch_10,Формовой,Комбинирование,84,105,21
Формовой_batch_7,Формовой,Смешивание,84,96,12
Формовой_batch_8,Формовой,Смешивание,84,96,12
Формовой_batch_9,Формовой,Комбинирование,84,105,21
Формовой_batch_5,Формовой,Расстойка,86,111,25
Формовой_batch_6,Формовой,Расстойка,86,111,25
Формовой_batch_3,Формовой,Выпекание,90,135,45
Формовой_batch_4,Формовой,Выпекание,90,135,45
Формовой_batch_7,Формовой,Формовка,96,107,11
Формовой_batch_8,Формовой,Формовка,96,107,11
Формовой_batch_10,Формовой,Смешивание,105,117,12
Формовой_batch_11,Формовой,Комбинирование,105,126,21
Формовой_batch_12,Формовой,Комбинирование,105,126,21
Формовой_batch_9,Формовой,Смешивание,105,117,12
Формовой_batch_7,Формовой,Расстойка,107,132,25
Формовой_batch_8,Формовой,Расстойка,107,132,25
Формовой_batch_5,Формовой,Выпекание,111,156,45
Формовой_batch_6,Формовой,Выпекание,111,156,45
Формовой_batch_1,Формовой,Остывание,114,204,90
Формовой_batch_2,Формовой,Остывание,114,204,90
Формовой_batch_10,Формовой,Формовка,117,128,11
Формовой_batch_9,Формовой,Формовка,117,128,11
Формовой_batch_11,Формовой,Смешивание,126,138,12
Формовой_batch_12,Формовой,Смешивание,126,138,12
Формовой_batch_13,Формовой,Комбинирование,126,147,21
Формовой_batch_14,Формовой,Комбинирование,126,147,21
Формовой_batch_10,Формовой,Расстойка,128,153,25
Формовой_batch_9,Формовой,Расстойка,128,153,25
Формовой_batch_7,Формовой,Выпекание,132,177,45
Формовой_batch_8,Формовой,Выпекание,132,177,45
Формовой_batch_3,Формовой,Остывание,135,225,90
Формовой_batch_4,Формовой,Остывание,135,225,90
Формовой_batch_11,Формовой,Формовка,138,149,11
Формовой_batch_12,Формовой,Формовка,138,149,11
Формовой_batch_13,Формовой,Смешивание,147,159,12
Формовой_batch_14,Формовой,Смешивание,147,159,12
Формовой_batch_15,Формовой,Комбинирование,147,168,21
Формовой_batch_16,Формовой,Комбинирование,147,168,21
Формовой_batch_11,Формовой,Расстойка,149,174,25
Формовой_batch_12,Формовой,Расстойка,149,174,25
Формовой_batch_10,Формовой,Выпекание,153,198,45
Формовой_batch_9,Формовой,Выпекание,153,198,45
Формовой_batch_5,Формовой,Остывание,156,246,90
Формовой_batch_6,Формовой,Остывание,156,246,90
Формовой_batch_13,Формовой,Формовка,159,170,11
Формовой_batch_14,Формовой,Формовка,159,170,11
Формовой_batch_15,Формовой,Смешивание,168,180,12
Формовой_batch_16,Формовой,Смешивание,168,180,12
Формовой_batch_17,Формовой,Комбинирование,168,189,21
Формовой_batch_18,Формовой,Комбинирование,168,189,21
Формовой_batch_13,Формовой,Расстойка,170,195,25
Формовой_batch_14,Формовой,Расстойка,170,195,25
Формовой_batch_11,Формовой,Выпекание,174,219,45
Формовой_batch_12,Формовой,Выпекание,174,219,45
Формовой_batch_7,Формовой,Остывание,177,267,90
Формовой_batch_8,Формовой,Остывание,177,267,90
Формовой_batch_15,Формовой,Формовка,180,191,11
Формовой_batch_16,Формовой,Формовка,180,191,11
Формовой_batch_17,Формовой,Смешивание,189,201,12
Формовой_batch_18,Формовой,Смешивание,189,201,12
Формовой_batch_19,Формовой,Комбинирование,189,210,21
Формовой_batch_20,Формовой,Комбинирование,189,210,21
Формовой_batch_15,Формовой,Расстойка,191,216,25
