Batch_ID,Stage,Start_Time_Min,End_Time_Min,Duration_Min
Бородинский_batch_2,Комбинирование,0,21,21
Бородинский_batch_3,Комбинирование,0,21,21
Бородинский_batch_5,Комбинирование,0,21,21
Бородинский_batch_1,Комбинирование,21,42,21
Бородинский_batch_2,Смешивание,21,31,10
Бородинский_batch_3,Смешивание,21,31,10
Бородинский_batch_4,Комбинирование,21,42,21
Бородинский_batch_5,Смешивание,21,31,10
Бородинский_batch_6,Комбинирование,21,42,21
Бородинский_batch_3,Формовка,31,42,11
Бородинский_batch_5,Формовка,31,42,11
Бородинский_batch_1,Смешивание,42,52,10
Бородинский_batch_2,Формовка,42,53,11
Бородинский_batch_3,Расстойка,42,62,20
Бородинский_batch_4,Смешивание,42,52,10
Бородинский_batch_5,Расстойка,42,62,20
Бородинский_batch_6,Смешивание,42,52,10
Диета_batch_1,Комбинирование,42,63,21
Диета_batch_2,Комбинирование,42,63,21
Диета_batch_3,Комбинирование,42,63,21
Бородинский_batch_6,Формовка,52,63,11
Бородинский_batch_2,Расстойка,53,73,20
Бородинский_batch_4,Формовка,53,64,11
Бородинский_batch_3,Выпекание,62,117,55
Бородинский_batch_5,Выпекание,62,117,55
Бородинский_batch_1,Формовка,63,74,11
Бородинский_batch_6,Расстойка,63,83,20
Диета_batch_1,Смешивание,63,73,10
Диета_batch_2,Смешивание,63,73,10
Диета_batch_3,Смешивание,63,73,10
Диета_batch_4,Комбинирование,63,84,21
Формовой_batch_10,Комбинирование,63,84,21
Формовой_batch_22,Комбинирование,63,84,21
Бородинский_batch_4,Расстойка,64,84,20
Бородинский_batch_2,Выпекание,73,128,55
Диета_batch_2,Формовка,73,84,11
Бородинский_batch_1,Расстойка,74,94,20
Диета_batch_1,Формовка,74,85,11
Бородинский_batch_6,Выпекание,83,138,55
Бородинский_batch_4,Выпекание,84,139,55
Диета_batch_2,Расстойка,84,122,38
Диета_batch_3,Формовка,84,95,11
Диета_batch_4,Смешивание,84,94,10
Мини формовой_batch_4,Комбинирование,84,105,21
Формовой_batch_10,Смешивание,84,96,12
Формовой_batch_14,Комбинирование,84,105,21
Формовой_batch_17,Комбинирование,84,105,21
Формовой_batch_22,Смешивание,84,96,12
Диета_batch_1,Расстойка,85,123,38
Бородинский_batch_1,Выпекание,94,149,55
Диета_batch_4,Формовка,94,105,11
Диета_batch_3,Расстойка,95,133,38
Формовой_batch_10,Формовка,96,107,11
Диета_batch_4,Расстойка,105,143,38
Мини формовой_batch_4,Смешивание,105,117,12
Формовой_batch_1,Комбинирование,105,126,21
Формовой_batch_12,Комбинирование,105,126,21
Формовой_batch_14,Смешивание,105,117,12
Формовой_batch_17,Смешивание,105,117,12
Формовой_batch_19,Комбинирование,105,126,21
Формовой_batch_22,Формовка,105,116,11
Формовой_batch_10,Расстойка,107,132,25
Формовой_batch_22,Расстойка,116,141,25
Бородинский_batch_3,Остывание,117,237,120
Бородинский_batch_5,Остывание,117,237,120
Мини формовой_batch_4,Формовка,117,128,11
Формовой_batch_14,Формовка,117,128,11
Диета_batch_2,Выпекание,122,157,35
Диета_batch_1,Выпекание,123,158,35
Мини формовой_batch_3,Комбинирование,126,147,21
Формовой_batch_1,Смешивание,126,138,12
Формовой_batch_12,Смешивание,126,138,12
Формовой_batch_19,Смешивание,126,138,12
Формовой_batch_3,Комбинирование,126,147,21
Формовой_batch_9,Комбинирование,126,147,21
Бородинский_batch_2,Остывание,128,248,120
Мини формовой_batch_4,Расстойка,128,153,25
Формовой_batch_14,Расстойка,128,153,25
Формовой_batch_17,Формовка,128,139,11
Формовой_batch_10,Выпекание,132,177,45
Бородинский_batch_6,Остывание,138,258,120
Диета_batch_3,Выпекание,138,173,35
Формовой_batch_12,Формовка,138,149,11
Бородинский_batch_4,Остывание,139,259,120
Формовой_batch_1,Формовка,139,150,11
Формовой_batch_17,Расстойка,139,164,25
Формовой_batch_22,Выпекание,141,186,45
Мини формовой_batch_3,Смешивание,147,159,12
Формовой_batch_11,Комбинирование,147,168,21
Формовой_batch_3,Смешивание,147,159,12
Формовой_batch_4,Комбинирование,147,168,21
Формовой_batch_8,Комбинирование,147,168,21
Формовой_batch_9,Смешивание,147,159,12
Бородинский_batch_1,Остывание,149,269,120
Диета_batch_4,Выпекание,149,184,35
Формовой_batch_12,Расстойка,149,174,25
Формовой_batch_19,Формовка,149,160,11
Формовой_batch_1,Расстойка,150,175,25
Диета_batch_2,Остывание,157,247,90
Формовой_batch_14,Выпекание,157,202,45
Диета_batch_1,Остывание,158,248,90
Мини формовой_batch_4,Выпекание,158,203,45
Формовой_batch_9,Формовка,159,170,11
Мини формовой_batch_3,Формовка,160,171,11
Формовой_batch_19,Расстойка,160,185,25
Формовой_batch_11,Смешивание,168,180,12
Формовой_batch_15,Комбинирование,168,189,21
Формовой_batch_20,Комбинирование,168,189,21
Формовой_batch_4,Смешивание,168,180,12
Формовой_batch_5,Комбинирование,168,189,21
Формовой_batch_8,Смешивание,168,180,12
Формовой_batch_3,Формовка,170,181,11
Формовой_batch_9,Расстойка,170,195,25
Мини формовой_batch_3,Расстойка,171,196,25
Диета_batch_3,Остывание,173,263,90
Формовой_batch_17,Выпекание,173,218,45
Формовой_batch_10,Остывание,177,267,90
Формовой_batch_12,Выпекание,177,222,45
Формовой_batch_8,Формовка,180,191,11
Формовой_batch_11,Формовка,181,192,11
Формовой_batch_3,Расстойка,181,206,25
Диета_batch_4,Остывание,184,274,90
Формовой_batch_1,Выпекание,184,229,45
Формовой_batch_19,Выпекание,186,231,45
Формовой_batch_22,Остывание,186,276,90
Формовой_batch_13,Комбинирование,189,210,21
Формовой_batch_15,Смешивание,189,201,12
Формовой_batch_16,Комбинирование,189,210,21
Формовой_batch_2,Комбинирование,189,210,21
Формовой_batch_20,Смешивание,189,201,12
Формовой_batch_5,Смешивание,189,201,12
Формовой_batch_4,Формовка,191,202,11
Формовой_batch_8,Расстойка,191,216,25
Формовой_batch_11,Расстойка,192,217,25
Формовой_batch_15,Формовка,201,212,11
Формовой_batch_14,Остывание,202,292,90
Формовой_batch_4,Расстойка,202,227,25
Формовой_batch_5,Формовка,202,213,11
Формовой_batch_9,Выпекание,202,247,45
Мини формовой_batch_3,Выпекание,203,248,45
Мини формовой_batch_4,Остывание,203,293,90
Мини формовой_batch_1,Комбинирование,210,231,21
Мини формовой_batch_2,Комбинирование,210,231,21
Формовой_batch_13,Смешивание,210,222,12
Формовой_batch_16,Смешивание,210,222,12
Формовой_batch_18,Комбинирование,210,231,21
Формовой_batch_2,Смешивание,210,222,12
Формовой_batch_15,Расстойка,212,237,25
Формовой_batch_20,Формовка,212,223,11
Формовой_batch_5,Расстойка,213,238,25
Формовой_batch_17,Остывание,218,308,90
Формовой_batch_3,Выпекание,218,263,45
Формовой_batch_12,Остывание,222,312,90
Формовой_batch_16,Формовка,222,233,11
Формовой_batch_8,Выпекание,222,267,45
Формовой_batch_2,Формовка,223,234,11
Формовой_batch_20,Расстойка,223,248,25
Формовой_batch_1,Остывание,229,319,90
Формовой_batch_11,Выпекание,229,274,45
Мини формовой_batch_1,Смешивание,231,243,12
Мини формовой_batch_2,Смешивание,231,243,12
Формовой_batch_18,Смешивание,231,243,12
Формовой_batch_19,Остывание,231,321,90
Формовой_batch_21,Комбинирование,231,252,21
Формовой_batch_4,Выпекание,231,276,45
Формовой_batch_6,Комбинирование,231,252,21
Формовой_batch_7,Комбинирование,231,252,21
Формовой_batch_13,Формовка,233,244,11
Формовой_batch_16,Расстойка,233,258,25
Формовой_batch_2,Расстойка,234,259,25
Бородинский_batch_3,Упаковка,237,252,15
Бородинский_batch_5,Упаковка,237,252,15
Формовой_batch_18,Формовка,243,254,11
Мини формовой_batch_2,Формовка,244,255,11
Формовой_batch_13,Расстойка,244,269,25
Диета_batch_2,Упаковка,247,257,10
Формовой_batch_15,Выпекание,247,292,45
Формовой_batch_9,Остывание,247,337,90
Бородинский_batch_2,Упаковка,248,263,15
Диета_batch_1,Упаковка,248,258,10
Мини формовой_batch_3,Остывание,248,338,90
Формовой_batch_5,Выпекание,248,293,45
Баварский Деревенский Ржаной_batch_1,Комбинирование,252,273,21
Багет новый_batch_2,Комбинирование,252,273,21
Багет новый_batch_4,Комбинирование,252,273,21
Формовой_batch_21,Смешивание,252,264,12
Формовой_batch_6,Смешивание,252,264,12
Формовой_batch_7,Смешивание,252,264,12
Мини формовой_batch_1,Формовка,254,265,11
Формовой_batch_18,Расстойка,254,279,25
Мини формовой_batch_2,Расстойка,255,280,25
Бородинский_batch_6,Упаковка,258,273,15
Бородинский_batch_4,Упаковка,259,274,15
Диета_batch_3,Упаковка,263,273,10
Формовой_batch_20,Выпекание,263,308,45
Формовой_batch_3,Остывание,263,353,90
Формовой_batch_7,Формовка,264,275,11
Мини формовой_batch_1,Расстойка,265,290,25
Формовой_batch_21,Формовка,265,276,11
Формовой_batch_10,Упаковка,267,277,10
Формовой_batch_16,Выпекание,267,312,45
Формовой_batch_8,Остывание,267,357,90
Бородинский_batch_1,Упаковка,269,284,15
Баварский Деревенский Ржаной_batch_1,Смешивание,273,283,10
Багет новый_batch_1,Комбинирование,273,294,21
Багет новый_batch_2,Смешивание,273,283,10
Багет новый_batch_4,Смешивание,273,283,10
Премиум_batch_1,Комбинирование,273,294,21
Чиабатта_batch_1,Комбинирование,273,294,21
Диета_batch_4,Упаковка,274,284,10
Формовой_batch_11,Остывание,274,364,90
Формовой_batch_2,Выпекание,274,319,45
Формовой_batch_6,Формовка,275,286,11
Формовой_batch_7,Расстойка,275,300,25
Формовой_batch_13,Выпекание,276,321,45
Формовой_batch_21,Расстойка,276,301,25
Формовой_batch_22,Упаковка,276,286,10
Формовой_batch_4,Остывание,276,366,90
Багет новый_batch_2,Формовка,283,294,11
Баварский Деревенский Ржаной_batch_1,Формовка,286,297,11
Формовой_batch_6,Расстойка,286,311,25
Формовой_batch_14,Упаковка,292,302,10
Формовой_batch_15,Остывание,292,382,90
Формовой_batch_18,Выпекание,292,337,45
Мини формовой_batch_2,Выпекание,293,338,45
Мини формовой_batch_4,Упаковка,293,303,10
Формовой_batch_5,Остывание,293,383,90
Багет новый_batch_1,Смешивание,294,304,10
Багет новый_batch_2,Расстойка,294,319,25
Багет новый_batch_3,Комбинирование,294,315,21
Багет новый_batch_4,Формовка,294,305,11
Премиум_batch_1,Смешивание,294,304,10
Хлеб «Зерновой»_batch_1,Комбинирование,294,315,21
Хлеб «Зерновой»_batch_2,Комбинирование,294,315,21
Чиабатта_batch_1,Смешивание,294,304,10
Баварский Деревенский Ржаной_batch_1,Расстойка,297,327,30
Чиабатта_batch_1,Формовка,304,315,11
Багет новый_batch_1,Формовка,305,316,11
Багет новый_batch_4,Расстойка,305,330,25
Мини формовой_batch_1,Выпекание,308,353,45
Формовой_batch_17,Упаковка,308,318,10
Формовой_batch_20,Остывание,308,398,90
Формовой_batch_12,Упаковка,312,322,10
Формовой_batch_16,Остывание,312,402,90
Формовой_batch_7,Выпекание,312,357,45
Багет новый_batch_3,Смешивание,315,325,10
Жайлы_batch_1,Комбинирование,315,336,21
Здоровье_batch_1,Комбинирование,315,336,21
Зерновой Столичный_batch_1,Комбинирование,315,336,21
Премиум_batch_1,Формовка,315,326,11
Хлеб «Зерновой»_batch_1,Смешивание,315,325,10
Хлеб «Зерновой»_batch_2,Смешивание,315,325,10
Чиабатта_batch_1,Расстойка,315,340,25
Багет новый_batch_1,Расстойка,316,341,25
Формовой_batch_1,Упаковка,319,329,10
Формовой_batch_2,Остывание,319,409,90
Формовой_batch_21,Выпекание,319,364,45
Формовой_batch_13,Остывание,321,411,90
Формовой_batch_19,Упаковка,321,331,10
Формовой_batch_6,Выпекание,321,366,45
Багет новый_batch_3,Формовка,325,336,11
Премиум_batch_1,Расстойка,326,351,25
Хлеб «Зерновой»_batch_1,Формовка,326,337,11
Багет новый_batch_3,Расстойка,336,361,25
Батон Верный_batch_1,Комбинирование,336,357,21
Жайлы_batch_1,Смешивание,336,346,10
Здоровье_batch_1,Смешивание,336,346,10
Зерновой Столичный_batch_1,Смешивание,336,346,10
Плетенка_batch_2,Комбинирование,336,357,21
Семейный_batch_1,Комбинирование,336,357,21
Хлеб «Зерновой»_batch_2,Формовка,336,347,11
Багет новый_batch_2,Выпекание,337,362,25
Формовой_batch_18,Остывание,337,427,90
Формовой_batch_9,Упаковка,337,347,10
Хлеб «Зерновой»_batch_1,Расстойка,337,362,25
Баварский Деревенский Ржаной_batch_1,Выпекание,338,356,18
Мини формовой_batch_2,Остывание,338,428,90
Мини формовой_batch_3,Упаковка,338,348,10
