Batch_ID,Stage,Start_Time_Min,End_Time_Min,Duration_Min
Булочка для хотдога штучно_batch_2,Комбинирование,0,21,21
Сэндвич_batch_14,Комбинирование,0,13,13
Бородинский_batch_5,Комбинирование,13,34,21
Сэндвич_batch_14,Смешивание,13,23,10
Бородинский_batch_1,Комбинирование,21,42,21
Булочка для хотдога штучно_batch_2,Смешивание,21,31,10
Сэндвич_batch_14,Формовка,23,30,7
Сэндвич_batch_14,Расстойка,30,55,25
Булочка для хотдога штучно_batch_2,Формовка,31,42,11
Бородинский_batch_5,Смешивание,34,44,10
Диета_batch_1,Комбинирование,34,55,21
Бородинский_batch_1,Смешивание,42,52,10
Бородинский_batch_6,Комбинирование,42,53,11
Булочка для хотдога штучно_batch_2,Расстойка,42,67,25
Бородинский_batch_5,Формовка,44,55,11
Бородинский_batch_1,Формовка,52,63,11
Бородинский_batch_6,Смешивание,53,63,10
Диета_batch_2,Комбинирование,53,74,21
Бородинский_batch_5,Расстойка,55,75,20
Диета_batch_1,Смешивание,55,65,10
Сэндвич_batch_14,Выпекание,55,77,22
Хлеб «Тартин бездрожжевой»_batch_1,Комбинирование,55,58,3
Булочка для гамбургера большой с кунжутом_batch_8,Комбинирование,58,79,21
Хлеб «Тартин бездрожжевой»_batch_1,Смешивание,58,68,10
Бородинский_batch_1,Расстойка,63,83,20
Бородинский_batch_6,Формовка,63,69,6
Диета_batch_1,Формовка,65,76,11
Булочка для хотдога штучно_batch_2,Выпекание,67,89,22
Бородинский_batch_6,Расстойка,69,89,20
Хлеб «Тартин бездрожжевой»_batch_1,Формовка,69,71,2
Хлеб «Тартин бездрожжевой»_batch_1,Расстойка,71,91,20
Диета_batch_2,Смешивание,74,84,10
Диета_batch_3,Комбинирование,74,95,21
Бородинский_batch_5,Выпекание,75,130,55
Диета_batch_1,Расстойка,76,114,38
Сэндвич_batch_14,Остывание,77,122,45
Булочка для гамбургера большой с кунжутом_batch_8,Смешивание,79,89,10
Зерновой Столичный_batch_1,Комбинирование,79,82,3
Славянский_batch_1,Комбинирование,82,84,2
Бородинский_batch_1,Выпекание,83,138,55
Зерновой Столичный_batch_1,Смешивание,83,93,10
Диета_batch_2,Формовка,84,95,11
Формовой_batch_15,Комбинирование,84,105,21
Славянский_batch_1,Смешивание,85,95,10
Бородинский_batch_6,Выпекание,89,144,55
Булочка для гамбургера большой с кунжутом_batch_8,Формовка,89,100,11
Булочка для хотдога штучно_batch_2,Остывание,89,134,45
Хлеб «Тартин бездрожжевой»_batch_1,Выпекание,91,107,16
