Batch_ID,Stage,Start_Time_Min,End_Time_Min,Duration_Min,Assigned_Machine
Бородинский_batch_4,Комбинирование,0,21,21,combiner_1
Бородинский_batch_5,Комбинирование,0,21,21,combiner_0
Бородинский_batch_1,Комбинирование,21,42,21,combiner_0
Бородинский_batch_4,Смешивание,21,31,10,mixer_0
Бородинский_batch_5,Смешивание,21,31,10,mixer_1
Бородинский_batch_6,Комбинирование,21,32,11,combiner_1
Бородинский_batch_4,Формовка,31,42,11,former_0
Бородинский_batch_5,Формовка,31,42,11,former_1
Бородинский_batch_6,Смешивание,32,42,10,mixer_2
Диета_batch_2,Комбинирование,32,53,21,combiner_1
Бородинский_batch_1,Смешивание,42,52,10,mixer_2
Бородинский_batch_2,Комбинирование,42,63,21,combiner_0
Бородинский_batch_4,Расстойка,42,62,20,
Бородинский_batch_5,Расстойка,42,62,20,
Бородинский_batch_6,Формовка,42,48,6,former_1
Бородинский_batch_6,Расстойка,48,68,20,
Бородинский_batch_1,Формовка,52,63,11,former_0
Диета_batch_1,Комбинирование,53,74,21,combiner_1
Диета_batch_2,Смешивание,53,63,10,mixer_2
Бородинский_batch_4,Выпекание,62,117,55,
Бородинский_batch_5,Выпекание,62,117,55,
Бородинский_batch_1,Расстойка,63,83,20,
Бородинский_batch_2,Смешивание,63,73,10,mixer_2
Бородинский_batch_3,Комбинирование,63,84,21,combiner_0
Диета_batch_2,Формовка,63,74,11,former_0
Бородинский_batch_6,Выпекание,68,123,55,
Бородинский_batch_2,Формовка,74,85,11,former_0
Диета_batch_1,Смешивание,74,84,10,mixer_2
Диета_batch_2,Расстойка,74,112,38,
Формовой_batch_14,Комбинирование,74,95,21,combiner_1
Бородинский_batch_1,Выпекание,83,138,55,
Бородинский_batch_3,Смешивание,84,94,10,mixer_2
Диета_batch_1,Формовка,84,95,11,former_1
Формовой_batch_6,Комбинирование,84,105,21,combiner_0
Бородинский_batch_2,Расстойка,85,105,20,
Бородинский_batch_3,Формовка,94,105,11,former_0
