Batch_ID,Product,Stage,Start_Time_Min,End_Time_Min,Duration_Min
Зерновой Столичный_batch_1,Зерновой Столичный,Комбинирование,0,3,3
Формовой_batch_9,Формовой,Комбинирование,0,21,21
Диета_batch_4,Диета,Комбинирование,3,12,9
Зерновой Столичный_batch_1,Зерновой Столичный,Смешивание,3,13,10
Бородинский_batch_4,Бородинский,Комбинирование,12,33,21
Диета_batch_4,Диета,Смешивание,12,22,10
Зерновой Столичный_batch_1,Зерновой Столичный,Формовка,13,15,2
Зерновой Столичный_batch_1,Зерновой Столичный,Расстойка,15,40,25
Береке_batch_2,Береке,Комбинирование,21,36,15
Формовой_batch_9,Формовой,Смешивание,21,33,12
Диета_batch_4,Диета,Формовка,22,27,5
Диета_batch_4,Диета,Расстойка,27,65,38
Бородинский_batch_4,Бородинский,Смешивание,33,43,10
Булочка для гамбургера большой с кунжутом_batch_15,Булочка для гамбургера большой с кунжутом,Комбинирование,33,54,21
Формовой_batch_9,Формовой,Формовка,33,44,11
Батон Нарезной_batch_1,Батон Нарезной,Комбинирование,36,57,21
Береке_batch_2,Береке,Смешивание,36,46,10
Зерновой Столичный_batch_1,Зерновой Столичный,Выпекание,40,57,17
Бородинский_batch_4,Бородинский,Формовка,43,54,11
Формовой_batch_9,Формовой,Расстойка,44,69,25
Береке_batch_2,Береке,Формовка,46,54,8
Береке_batch_2,Береке,Расстойка,54,74,20
Бородинский_batch_4,Бородинский,Расстойка,54,74,20
Бородинский_batch_5,Бородинский,Комбинирование,54,75,21
Булочка для гамбургера большой с кунжутом_batch_15,Булочка для гамбургера большой с кунжутом,Смешивание,54,64,10
Батон Нарезной_batch_1,Батон Нарезной,Смешивание,57,67,10
Булочка для гамбургера большой с кунжутом_batch_13,Булочка для гамбургера большой с кунжутом,Комбинирование,57,78,21
Зерновой Столичный_batch_1,Зерновой Столичный,Остывание,57,117,60
Булочка для гамбургера большой с кунжутом_batch_15,Булочка для гамбургера большой с кунжутом,Формовка,64,75,11
Диета_batch_4,Диета,Выпекание,65,100,35
Батон Нарезной_batch_1,Батон Нарезной,Формовка,67,78,11
Формовой_batch_9,Формовой,Выпекание,69,114,45
Береке_batch_2,Береке,Выпекание,74,90,16
Бородинский_batch_4,Бородинский,Выпекание,74,129,55
Бородинский_batch_5,Бородинский,Смешивание,75,85,10
Булочка для гамбургера большой с кунжутом_batch_15,Булочка для гамбургера большой с кунжутом,Расстойка,75,100,25
Формовой_batch_14,Формовой,Комбинирование,75,96,21
Батон Нарезной_batch_1,Батон Нарезной,Расстойка,78,103,25
Булочка для гамбургера большой с кунжутом_batch_13,Булочка для гамбургера большой с кунжутом,Смешивание,78,88,10
Формовой_batch_10,Формовой,Комбинирование,78,99,21
Бородинский_batch_5,Бородинский,Формовка,85,96,11
Булочка для гамбургера большой с кунжутом_batch_13,Булочка для гамбургера большой с кунжутом,Формовка,88,99,11
Береке_batch_2,Береке,Остывание,90,150,60
Бородинский_batch_5,Бородинский,Расстойка,96,116,20
Сэндвич_batch_6,Сэндвич,Комбинирование,96,117,21
Формовой_batch_14,Формовой,Смешивание,96,108,12
Булочка для гамбургера большой с кунжутом_batch_13,Булочка для гамбургера большой с кунжутом,Расстойка,99,124,25
Сэндвич_batch_4,Сэндвич,Комбинирование,99,120,21
Формовой_batch_10,Формовой,Смешивание,99,111,12
Булочка для гамбургера большой с кунжутом_batch_15,Булочка для гамбургера большой с кунжутом,Выпекание,100,122,22
Диета_batch_4,Диета,Остывание,100,190,90
Батон Нарезной_batch_1,Батон Нарезной,Выпекание,103,120,17
Формовой_batch_14,Формовой,Формовка,108,119,11
Формовой_batch_10,Формовой,Формовка,111,122,11
Формовой_batch_9,Формовой,Остывание,114,204,90
Бородинский_batch_5,Бородинский,Выпекание,116,171,55
Булочка для гамбургера большой с кунжутом_batch_1,Булочка для гамбургера большой с кунжутом,Комбинирование,117,138,21
Сэндвич_batch_6,Сэндвич,Смешивание,117,127,10
Формовой_batch_14,Формовой,Расстойка,119,144,25
