Batch_ID,Product,Stage,Start_Time_Min,End_Time_Min,Duration_Min
Формовой_batch_1,Формовой,Комбинирование,0,21,21
Формовой_batch_2,Формовой,Комбинирование,0,21,21
Формовой_batch_3,Формовой,Комбинирование,21,42,21
Формовой_batch_4,Формовой,Комбинирование,21,42,21
Формовой_batch_5,Формовой,Комбинирование,42,63,21
Формовой_batch_6,Формовой,Комбинирование,42,63,21
Формовой_batch_7,Формовой,Комбинирование,63,84,21
Формовой_batch_8,Формовой,Комбинирование,63,84,21
Формовой_batch_10,Формовой,Комбинирование,84,105,21
Формовой_batch_9,Формовой,Комбинирование,84,105,21
Формовой_batch_11,Формовой,Комбинирование,105,126,21
Формовой_batch_12,Формовой,Комбинирование,105,126,21
Формовой_batch_13,Формовой,Комбинирование,126,147,21
Формовой_batch_14,Формовой,Комбинирование,126,147,21
Формовой_batch_15,Формовой,Комбинирование,147,168,21
Формовой_batch_16,Формовой,Комбинирование,147,168,21
Формовой_batch_17,Формовой,Комбинирование,168,189,21
Формовой_batch_18,Формовой,Комбинирование,168,189,21
Мини формовой_batch_20,Мини формовой,Комбинирование,189,210,21
Формовой_batch_17,Формовой,Смешивание,189,201,12
Формовой_batch_18,Формовой,Смешивание,189,201,12
Формовой_batch_19,Формовой,Комбинирование,189,210,21
Формовой_batch_18,Формовой,Формовка,201,212,11
Мини формовой_batch_20,Мини формовой,Смешивание,210,222,12
Мини формовой_batch_21,Мини формовой,Комбинирование,210,231,21
Мини формовой_batch_22,Мини формовой,Комбинирование,210,231,21
Формовой_batch_19,Формовой,Смешивание,210,222,12
Формовой_batch_18,Формовой,Расстойка,212,237,25
Мини формовой_batch_20,Мини формовой,Формовка,222,233,11
Бородинский_batch_24,Бородинский,Комбинирование,231,252,21
Мини формовой_batch_21,Мини формовой,Смешивание,231,243,12
Мини формовой_batch_22,Мини формовой,Смешивание,231,243,12
Мини формовой_batch_23,Мини формовой,Комбинирование,231,252,21
Мини формовой_batch_20,Мини формовой,Расстойка,233,258,25
Формовой_batch_17,Формовой,Формовка,233,244,11
Формовой_batch_18,Формовой,Выпекание,237,282,45
Мини формовой_batch_21,Мини формовой,Формовка,243,254,11
Формовой_batch_8,Формовой,Смешивание,243,255,12
Формовой_batch_9,Формовой,Смешивание,243,255,12
Формовой_batch_17,Формовой,Расстойка,244,269,25
Формовой_batch_19,Формовой,Формовка,244,255,11
Бородинский_batch_25,Бородинский,Комбинирование,252,273,21
Бородинский_batch_26,Бородинский,Комбинирование,252,273,21
Мини формовой_batch_23,Мини формовой,Смешивание,252,264,12
Мини формовой_batch_21,Мини формовой,Расстойка,254,279,25
Мини формовой_batch_22,Мини формовой,Формовка,254,265,11
Формовой_batch_13,Формовой,Смешивание,255,267,12
Формовой_batch_14,Формовой,Смешивание,255,267,12
Формовой_batch_19,Формовой,Расстойка,255,280,25
Мини формовой_batch_20,Мини формовой,Выпекание,258,303,45
Мини формовой_batch_23,Мини формовой,Формовка,264,275,11
Формовой_batch_15,Формовой,Смешивание,264,276,12
Мини формовой_batch_22,Мини формовой,Расстойка,265,290,25
Формовой_batch_8,Формовой,Формовка,265,276,11
Формовой_batch_10,Формовой,Смешивание,267,279,12
Формовой_batch_16,Формовой,Смешивание,267,279,12
Формовой_batch_17,Формовой,Выпекание,269,314,45
Бородинский_batch_27,Бородинский,Комбинирование,273,294,21
Бородинский_batch_28,Бородинский,Комбинирование,273,294,21
Мини формовой_batch_23,Мини формовой,Расстойка,275,300,25
Формовой_batch_9,Формовой,Формовка,275,286,11
Формовой_batch_11,Формовой,Смешивание,276,288,12
Формовой_batch_13,Формовой,Формовка,276,287,11
Формовой_batch_8,Формовой,Расстойка,276,301,25
Мини формовой_batch_21,Мини формовой,Выпекание,279,324,45
Формовой_batch_19,Формовой,Выпекание,280,325,45
Формовой_batch_18,Формовой,Остывание,282,372,90
Формовой_batch_14,Формовой,Формовка,286,297,11
Формовой_batch_9,Формовой,Расстойка,286,311,25
Формовой_batch_13,Формовой,Расстойка,287,312,25
Формовой_batch_15,Формовой,Формовка,287,298,11
Мини формовой_batch_22,Мини формовой,Выпекание,290,335,45
Багет луковый_batch_30,Багет луковый,Комбинирование,294,315,21
Домашний_batch_29,Домашний,Комбинирование,294,315,21
Формовой_batch_14,Формовой,Расстойка,297,322,25
Формовой_batch_16,Формовой,Формовка,297,308,11
Формовой_batch_15,Формовой,Расстойка,298,323,25
Мини формовой_batch_23,Мини формовой,Выпекание,300,345,45
Мини формовой_batch_20,Мини формовой,Остывание,303,393,90
Формовой_batch_8,Формовой,Выпекание,303,348,45
Формовой_batch_16,Формовой,Расстойка,308,333,25
Формовой_batch_17,Формовой,Остывание,314,404,90
Формовой_batch_9,Формовой,Выпекание,314,359,45
Багет новый_batch_31,Багет новый,Комбинирование,315,336,21
