Batch_ID,Stage,Start_Time_Min,End_Time_Min,Duration_Min
Формовой_batch_4,Расстойка,0,25,25
Формовой_batch_13,Остывание,0,90,90
Формовой_batch_14,Остывание,0,90,90
Формовой_batch_16,Расстойка,0,25,25
Формовой_batch_17,Смешивание,0,12,12
Формовой_batch_19,Формовка,0,11,11
Формовой_batch_20,Остывание,0,90,90
Мини формовой_batch_1,Выпекание,0,45,45
Мини формовой_batch_4,Остывание,0,90,90
Бородинский_batch_3,Расстойка,0,20,20
Багет луковый_batch_1,Комбинирование,0,21,21
Багет новый_batch_1,Расстойка,0,25,25
Багет новый_batch_1,Остывание,0,75,75
Багет новый_batch_2,Расстойка,0,25,25
Батон Нарезной_batch_3,Выпекание,0,17,17
Береке_batch_2,Расстойка,0,20,20
Диета_batch_1,Остывание,0,90,90
Диета_batch_2,Выпекание,0,35,35
Диета_batch_3,Комбинирование,0,21,21
Немецкий хлеб_batch_1,Остывание,0,75,75
Плетенка_batch_1,Формовка,0,11,11
Славянский_batch_1,Остывание,0,60,60
Зерновой Столичный_batch_1,Выпекание,0,17,17
Сэндвич_batch_1,Расстойка,0,25,25
Сэндвич_batch_1,Выпекание,0,22,22
Сэндвич_batch_5,Смешивание,0,10,10
Сэндвич_batch_6,Остывание,0,45,45
Сэндвич_batch_14,Остывание,0,45,45
Сэндвич_batch_16,Остывание,0,45,45
Булочка для гамбургера большой с кунжутом_batch_2,Выпекание,0,22,22
Бородинский_batch_5,Формовка,11,22,11
Плетенка_batch_1,Остывание,11,71,60
Сэндвич_batch_18,Формовка,11,22,11
Формовой_batch_19,Смешивание,12,24,12
Премиум_batch_1,Выпекание,17,42,25
Батон Нарезной_batch_3,Остывание,17,77,60
Сэндвич_batch_17,Выпекание,17,39,22
Семейный_batch_2,Расстойка,20,45,25
Багет луковый_batch_1,Смешивание,21,31,10
Диета_batch_3,Смешивание,21,31,10
Зерновой Столичный_batch_1,Комбинирование,21,42,21
Сэндвич_batch_18,Комбинирование,21,42,21
Формовой_batch_9,Выпекание,22,67,45
Бородинский_batch_5,Остывание,22,142,120
Батон Нарезной_batch_1,Формовка,22,33,11
Жайлы_batch_1,Формовка,22,33,11
Хлеб «Тартин бездрожжевой»_batch_1,Выпекание,22,38,16
Формовой_batch_18,Смешивание,24,36,12
Формовой_batch_9,Расстойка,25,50,25
Багет новый_batch_2,Остывание,25,100,75
Немецкий хлеб_batch_1,Расстойка,25,50,25
Сэндвич_batch_1,Остывание,25,70,45
Бородинский_batch_3,Формовка,33,44,11
Багет отрубной_batch_1,Формовка,33,44,11
Жайлы_batch_1,Расстойка,33,58,25
Формовой_batch_12,Смешивание,36,48,12
Жайлы_batch_2,Выпекание,38,55,17
Сэндвич_batch_10,Выпекание,39,61,22
Бородинский_batch_2,Комбинирование,42,63,21
Домашний_batch_1,Комбинирование,42,63,21
Сэндвич_batch_5,Выпекание,42,64,22
Сэндвич_batch_18,Расстойка,42,67,25
Формовой_batch_5,Формовка,44,55,11
Бородинский_batch_3,Выпекание,44,99,55
Бородинский_batch_3,Остывание,44,164,120
Береке_batch_2,Формовка,44,55,11
Формовой_batch_4,Выпекание,45,90,45
Мини формовой_batch_1,Остывание,45,135,90
Бородинский_batch_5,Расстойка,45,65,20
Семейный_batch_2,Остывание,45,105,60
Сэндвич_batch_19,Остывание,45,90,45
Хлеб «Тартин бездрожжевой»_batch_1,Остывание,45,105,60
Зерновой Столичный_batch_1,Расстойка,50,75,25
Формовой_batch_7,Формовка,55,66,11
Бородинский_batch_1,Формовка,55,66,11
Плетенка_batch_1,Выпекание,55,72,17
Булочка для гамбургера большой с кунжутом_batch_2,Остывание,60,105,45
Багет луковый_batch_1,Выпекание,61,79,18
Сэндвич_batch_10,Остывание,61,106,45
Формовой_batch_20,Комбинирование,63,84,21
Бородинский_batch_2,Остывание,63,183,120
Домашний_batch_1,Смешивание,63,73,10
Багет отрубной_batch_1,Комбинирование,63,84,21
Отрубной (общий)_batch_1,Выпекание,64,81,17
Батон Нарезной_batch_2,Расстойка,65,90,25
Формовой_batch_8,Формовка,66,77,11
Батон Верный_batch_1,Формовка,66,77,11
Чиабатта_batch_1,Выпекание,67,92,25
Формовой_batch_19,Остывание,71,161,90
Хлеб «Зерновой»_batch_2,Выпекание,72,97,25
Бородинский_batch_1,Смешивание,73,83,10
Зерновой Столичный_batch_1,Остывание,75,135,60
Мини формовой_batch_4,Формовка,77,88,11
Батон Верный_batch_1,Расстойка,77,102,25
Любимый_batch_2,Формовка,77,88,11
Формовой_batch_16,Выпекание,79,124,45
Багет луковый_batch_1,Остывание,79,124,45
Формовой_batch_6,Выпекание,81,126,45
Батон Верный_batch_1,Смешивание,83,93,10
