Batch_ID,Stage,Start_Time_Min,End_Time_Min,Duration_Min
Сэндвич_batch_8,Комбинирование,0,21,21
Домашний_batch_1,Комбинирование,0,21,21
Сэндвич_batch_8,Смешивание,21,31,10
Домашний_batch_1,Смешивание,21,31,10
Любимый_batch_2,Комбинирование,21,42,21
Сэндвич_batch_4,Комбинирование,21,42,21
Сэндвич_batch_8,Формовка,31,42,11
Домашний_batch_1,Формовка,31,42,11
Сэндвич_batch_8,Расстойка,42,67,25
Домашний_batch_1,Расстойка,42,67,25
Любимый_batch_2,Смешивание,42,52,10
Сэндвич_batch_4,Смешивание,42,52,10
Формовой_batch_17,Комбинирование,42,63,21
Батон Нарезной_batch_1,Комбинирование,42,63,21
Любимый_batch_2,Формовка,52,63,11
Сэндвич_batch_4,Формовка,52,63,11
Любимый_batch_2,Расстойка,63,88,25
Сэндвич_batch_4,Расстойка,63,88,25
Формовой_batch_17,Смешивание,63,75,12
Батон Нарезной_batch_1,Смешивание,63,73,10
Багет луковый_batch_1,Комбинирование,63,84,21
Формовой_batch_12,Комбинирование,63,84,21
Сэндвич_batch_8,Выпекание,67,89,22
Домашний_batch_1,Выпекание,67,84,17
Батон Нарезной_batch_1,Формовка,73,84,11
Формовой_batch_17,Формовка,75,86,11
Домашний_batch_1,Остывание,84,144,60
Батон Нарезной_batch_1,Расстойка,84,109,25
Багет луковый_batch_1,Смешивание,84,94,10
Формовой_batch_12,Смешивание,84,96,12
Мини формовой_batch_1,Комбинирование,84,105,21
Сэндвич_batch_18,Комбинирование,84,105,21
Формовой_batch_17,Расстойка,86,111,25
Любимый_batch_2,Выпекание,88,105,17
Сэндвич_batch_4,Выпекание,88,110,22
Сэндвич_batch_8,Остывание,89,134,45
Багет луковый_batch_1,Формовка,94,105,11
Формовой_batch_12,Формовка,96,107,11
Любимый_batch_2,Остывание,105,165,60
Багет луковый_batch_1,Расстойка,105,125,20
Мини формовой_batch_1,Смешивание,105,117,12
Сэндвич_batch_18,Смешивание,105,115,10
Булочка для гамбургера большой с кунжутом_batch_1,Комбинирование,105,126,21
Хлеб «Зерновой»_batch_2,Комбинирование,105,126,21
Формовой_batch_12,Расстойка,107,132,25
Батон Нарезной_batch_1,Выпекание,109,126,17
Сэндвич_batch_4,Остывание,110,155,45
Формовой_batch_17,Выпекание,111,156,45
Сэндвич_batch_18,Формовка,115,126,11
Мини формовой_batch_1,Формовка,117,128,11
Багет луковый_batch_1,Выпекание,125,143,18
Батон Нарезной_batch_1,Остывание,126,186,60
Сэндвич_batch_18,Расстойка,126,151,25
Булочка для гамбургера большой с кунжутом_batch_1,Смешивание,126,136,10
Хлеб «Зерновой»_batch_2,Смешивание,126,136,10
Жайлы_batch_2,Комбинирование,126,147,21
Сэндвич_batch_17,Комбинирование,126,147,21
Мини формовой_batch_1,Расстойка,128,153,25
Формовой_batch_12,Выпекание,132,177,45
Булочка для гамбургера большой с кунжутом_batch_1,Формовка,136,147,11
Хлеб «Зерновой»_batch_2,Формовка,136,147,11
Багет луковый_batch_1,Остывание,143,188,45
Булочка для гамбургера большой с кунжутом_batch_1,Расстойка,147,172,25
Хлеб «Зерновой»_batch_2,Расстойка,147,172,25
Жайлы_batch_2,Смешивание,147,157,10
Сэндвич_batch_17,Смешивание,147,157,10
Жайлы_batch_1,Комбинирование,147,168,21
Сэндвич_batch_9,Комбинирование,147,168,21
Сэндвич_batch_18,Выпекание,151,173,22
Мини формовой_batch_1,Выпекание,153,198,45
Формовой_batch_17,Остывание,156,246,90
Жайлы_batch_2,Формовка,157,168,11
Сэндвич_batch_17,Формовка,157,168,11
Жайлы_batch_2,Расстойка,168,193,25
Сэндвич_batch_17,Расстойка,168,193,25
Жайлы_batch_1,Смешивание,168,178,10
Сэндвич_batch_9,Смешивание,168,178,10
Формовой_batch_20,Комбинирование,168,189,21
Отрубной (общий)_batch_2,Комбинирование,168,189,21
Булочка для гамбургера большой с кунжутом_batch_1,Выпекание,172,194,22
Хлеб «Зерновой»_batch_2,Выпекание,172,197,25
Сэндвич_batch_18,Остывание,173,218,45
Формовой_batch_12,Остывание,177,267,90
Жайлы_batch_1,Формовка,178,189,11
Сэндвич_batch_9,Формовка,178,189,11
Жайлы_batch_1,Расстойка,189,214,25
Сэндвич_batch_9,Расстойка,189,214,25
Формовой_batch_20,Смешивание,189,201,12
Отрубной (общий)_batch_2,Смешивание,189,199,10
Батон Нарезной_batch_4,Комбинирование,189,210,21
Плетенка_batch_1,Комбинирование,189,210,21
Жайлы_batch_2,Выпекание,193,210,17
Сэндвич_batch_17,Выпекание,193,215,22
Булочка для гамбургера большой с кунжутом_batch_1,Остывание,194,239,45
Хлеб «Зерновой»_batch_2,Остывание,197,272,75
Мини формовой_batch_1,Остывание,198,288,90
Отрубной (общий)_batch_2,Формовка,199,210,11
Формовой_batch_20,Формовка,201,212,11
Жайлы_batch_2,Остывание,210,270,60
Отрубной (общий)_batch_2,Расстойка,210,235,25
Батон Нарезной_batch_4,Смешивание,210,220,10
Плетенка_batch_1,Смешивание,210,220,10
Хлеб «Зерновой»_batch_1,Комбинирование,210,231,21
Багет новый_batch_1,Комбинирование,210,231,21
Формовой_batch_20,Расстойка,212,237,25
Жайлы_batch_1,Выпекание,214,231,17
Сэндвич_batch_9,Выпекание,214,236,22
Сэндвич_batch_17,Остывание,215,260,45
Батон Нарезной_batch_4,Формовка,220,231,11
Плетенка_batch_1,Формовка,220,231,11
Жайлы_batch_1,Остывание,231,291,60
Батон Нарезной_batch_4,Расстойка,231,256,25
Плетенка_batch_1,Расстойка,231,256,25
Хлеб «Зерновой»_batch_1,Смешивание,231,241,10
Багет новый_batch_1,Смешивание,231,241,10
Батон Нарезной_batch_2,Комбинирование,231,252,21
Формовой_batch_6,Комбинирование,231,252,21
Отрубной (общий)_batch_2,Выпекание,235,252,17
Сэндвич_batch_9,Остывание,236,281,45
Формовой_batch_20,Выпекание,237,282,45
Хлеб «Зерновой»_batch_1,Формовка,241,252,11
Багет новый_batch_1,Формовка,241,252,11
Отрубной (общий)_batch_2,Остывание,252,312,60
Хлеб «Зерновой»_batch_1,Расстойка,252,277,25
Багет новый_batch_1,Расстойка,252,277,25
Батон Нарезной_batch_2,Смешивание,252,262,10
Формовой_batch_6,Смешивание,252,264,12
Диета_batch_2,Комбинирование,252,273,21
Немецкий хлеб_batch_1,Комбинирование,252,273,21
Батон Нарезной_batch_4,Выпекание,256,273,17
Плетенка_batch_1,Выпекание,256,273,17
Батон Нарезной_batch_2,Формовка,262,273,11
Формовой_batch_6,Формовка,264,275,11
Батон Нарезной_batch_4,Остывание,273,333,60
Плетенка_batch_1,Остывание,273,333,60
Батон Нарезной_batch_2,Расстойка,273,298,25
Диета_batch_2,Смешивание,273,283,10
Немецкий хлеб_batch_1,Смешивание,273,283,10
Формовой_batch_13,Комбинирование,273,294,21
Сэндвич_batch_14,Комбинирование,273,294,21
Формовой_batch_6,Расстойка,275,300,25
Хлеб «Зерновой»_batch_1,Выпекание,277,302,25
Багет новый_batch_1,Выпекание,277,302,25
Формовой_batch_20,Остывание,282,372,90
Диета_batch_2,Формовка,283,294,11
Немецкий хлеб_batch_1,Формовка,283,294,11
Диета_batch_2,Расстойка,294,332,38
Немецкий хлеб_batch_1,Расстойка,294,319,25
Формовой_batch_13,Смешивание,294,306,12
Сэндвич_batch_14,Смешивание,294,304,10
Батон Нарезной_batch_3,Комбинирование,294,315,21
Сэндвич_batch_19,Комбинирование,294,315,21
Батон Нарезной_batch_2,Выпекание,298,315,17
Формовой_batch_6,Выпекание,300,345,45
Хлеб «Зерновой»_batch_1,Остывание,302,377,75
Багет новый_batch_1,Остывание,302,377,75
Сэндвич_batch_14,Формовка,304,315,11
Формовой_batch_13,Формовка,306,317,11
Батон Нарезной_batch_2,Остывание,315,375,60
Сэндвич_batch_14,Расстойка,315,340,25
Батон Нарезной_batch_3,Смешивание,315,325,10
Сэндвич_batch_19,Смешивание,315,325,10
Мини формовой_batch_4,Комбинирование,315,336,21
Сэндвич_batch_2,Комбинирование,315,336,21
Формовой_batch_13,Расстойка,317,342,25
Немецкий хлеб_batch_1,Выпекание,319,344,25
Батон Нарезной_batch_3,Формовка,325,336,11
Сэндвич_batch_19,Формовка,325,336,11
Диета_batch_2,Выпекание,332,367,35
Батон Нарезной_batch_3,Расстойка,336,361,25
Сэндвич_batch_19,Расстойка,336,361,25
Мини формовой_batch_4,Смешивание,336,348,12
Сэндвич_batch_2,Смешивание,336,346,10
Сэндвич_batch_3,Комбинирование,336,357,21
Хлеб «Тартин бездрожжевой»_batch_1,Комбинирование,336,357,21
Сэндвич_batch_14,Выпекание,340,362,22
Формовой_batch_13,Выпекание,342,387,45
Немецкий хлеб_batch_1,Остывание,344,419,75
Формовой_batch_6,Остывание,345,435,90
Сэндвич_batch_2,Формовка,346,357,11
Мини формовой_batch_4,Формовка,348,359,11
