Batch_ID,Product,Stage,Start_Time_Min,End_Time_Min,Duration_Min
Булочка для гамбургера большой с кунжутом_batch_2,Булочка для гамбургера большой с кунжутом,Комбинирование,0.0,21.0,21
Булочка для гамбургера большой с кунжутом_batch_2,Булочка для гамбургера большой с кунжутом,Смешивание,21.0,31.0,10
Булочка для гамбургера большой с кунжутом_batch_2,Булочка для гамбургера большой с кунжутом,Формовка,31.0,42.0,11
Булочка для гамбургера большой с кунжутом_batch_2,Булочка для гамбургера большой с кунжутом,Расстойка,42.0,67.0,25
Булочка для гамбургера большой с кунжутом_batch_1,Булочка для гамбургера большой с кунжутом,Комбинирование,45.0,66.0,21
Булочка для гамбургера большой с кунжутом_batch_1,Булочка для гамбургера большой с кунжутом,Смешивание,66.0,76.0,10
Булочка для гамбургера большой с кунжутом_batch_2,Булочка для гамбургера большой с кунжутом,Выпекание,67.0,89.0,22
Чиабатта_batch_1,Чиабатта,Комбинирование,70.0,91.0,21
Булочка для гамбургера большой с кунжутом_batch_1,Булочка для гамбургера большой с кунжутом,Формовка,76.0,87.0,11
Булочка для гамбургера большой с кунжутом_batch_1,Булочка для гамбургера большой с кунжутом,Расстойка,87.0,112.0,25
Булочка для гамбургера большой с кунжутом_batch_2,Булочка для гамбургера большой с кунжутом,Остывание,89.0,134.0,45
Чиабатта_batch_1,Чиабатта,Смешивание,91.0,101.0,10
Хлеб «Зерновой»_batch_2,Хлеб «Зерновой»,Комбинирование,95.0,116.0,21
Чиабатта_batch_1,Чиабатта,Формовка,101.0,112.0,11
Булочка для гамбургера большой с кунжутом_batch_1,Булочка для гамбургера большой с кунжутом,Выпекание,112.0,134.0,22
Чиабатта_batch_1,Чиабатта,Расстойка,112.0,137.0,25
Хлеб «Зерновой»_batch_2,Хлеб «Зерновой»,Смешивание,116.0,126.0,10
Хлеб «Зерновой»_batch_1,Хлеб «Зерновой»,Комбинирование,120.0,141.0,21
Хлеб «Зерновой»_batch_2,Хлеб «Зерновой»,Формовка,126.0,137.0,11
Булочка для гамбургера большой с кунжутом_batch_1,Булочка для гамбургера большой с кунжутом,Остывание,134.0,179.0,45
Хлеб «Зерновой»_batch_2,Хлеб «Зерновой»,Расстойка,137.0,162.0,25
Чиабатта_batch_1,Чиабатта,Выпекание,137.0,162.0,25
Хлеб «Зерновой»_batch_1,Хлеб «Зерновой»,Смешивание,141.0,151.0,10
Хлеб «Тартин бездрожжевой»_batch_1,Хлеб «Тартин бездрожжевой»,Комбинирование,144.0,165.0,21
Хлеб «Зерновой»_batch_1,Хлеб «Зерновой»,Формовка,151.0,162.0,11
Хлеб «Зерновой»_batch_1,Хлеб «Зерновой»,Расстойка,162.0,187.0,25
Хлеб «Зерновой»_batch_2,Хлеб «Зерновой»,Выпекание,162.0,187.0,25
Сэндвич_batch_19,Сэндвич,Комбинирование,165.0,186.0,21
Хлеб «Тартин бездрожжевой»_batch_1,Хлеб «Тартин бездрожжевой»,Смешивание,166.0,176.0,10
Хлеб «Тартин бездрожжевой»_batch_1,Хлеб «Тартин бездрожжевой»,Формовка,176.0,187.0,11
Чиабатта_batch_1,Чиабатта,Остывание,179.0,254.0,75
Сэндвич_batch_19,Сэндвич,Смешивание,186.0,196.0,10
Хлеб «Зерновой»_batch_1,Хлеб «Зерновой»,Выпекание,187.0,212.0,25
Хлеб «Тартин бездрожжевой»_batch_1,Хлеб «Тартин бездрожжевой»,Расстойка,187.0,207.0,20
Сэндвич_batch_18,Сэндвич,Комбинирование,190.0,211.0,21
Сэндвич_batch_19,Сэндвич,Формовка,196.0,207.0,11
Сэндвич_batch_19,Сэндвич,Расстойка,207.0,232.0,25
Сэндвич_batch_18,Сэндвич,Смешивание,211.0,221.0,10
Хлеб «Тартин бездрожжевой»_batch_1,Хлеб «Тартин бездрожжевой»,Выпекание,212.0,228.0,16
Сэндвич_batch_17,Сэндвич,Комбинирование,215.0,236.0,21
Сэндвич_batch_18,Сэндвич,Формовка,221.0,232.0,11
Сэндвич_batch_18,Сэндвич,Расстойка,232.0,257.0,25
Сэндвич_batch_19,Сэндвич,Выпекание,235.0,257.0,22
Сэндвич_batch_17,Сэндвич,Смешивание,236.0,246.0,10
Сэндвич_batch_16,Сэндвич,Комбинирование,240.0,261.0,21
Сэндвич_batch_17,Сэндвич,Формовка,246.0,257.0,11
Хлеб «Зерновой»_batch_2,Хлеб «Зерновой»,Остывание,254.0,329.0,75
Сэндвич_batch_17,Сэндвич,Расстойка,257.0,282.0,25
Сэндвич_batch_18,Сэндвич,Выпекание,257.0,279.0,22
Сэндвич_batch_16,Сэндвич,Смешивание,261.0,271.0,10
Сэндвич_batch_15,Сэндвич,Комбинирование,265.0,286.0,21
Сэндвич_batch_16,Сэндвич,Формовка,271.0,282.0,11
Сэндвич_batch_16,Сэндвич,Расстойка,282.0,307.0,25
Сэндвич_batch_15,Сэндвич,Смешивание,286.0,296.0,10
Сэндвич_batch_17,Сэндвич,Выпекание,287.0,309.0,22
Сэндвич_batch_14,Сэндвич,Комбинирование,290.0,311.0,21
Сэндвич_batch_15,Сэндвич,Формовка,296.0,307.0,11
Сэндвич_batch_15,Сэндвич,Расстойка,307.0,332.0,25
Сэндвич_batch_14,Сэндвич,Смешивание,311.0,321.0,10
Сэндвич_batch_16,Сэндвич,Выпекание,312.0,334.0,22
Сэндвич_batch_13,Сэндвич,Комбинирование,315.0,336.0,21
Сэндвич_batch_14,Сэндвич,Формовка,321.0,332.0,11
Хлеб «Зерновой»_batch_1,Хлеб «Зерновой»,Остывание,329.0,404.0,75
Сэндвич_batch_14,Сэндвич,Расстойка,332.0,357.0,25
Сэндвич_batch_13,Сэндвич,Смешивание,336.0,346.0,10
Сэндвич_batch_15,Сэндвич,Выпекание,337.0,359.0,22
Сэндвич_batch_12,Сэндвич,Комбинирование,340.0,361.0,21
Сэндвич_batch_13,Сэндвич,Формовка,346.0,357.0,11
Сэндвич_batch_13,Сэндвич,Расстойка,357.0,382.0,25
Сэндвич_batch_12,Сэндвич,Смешивание,361.0,371.0,10
Сэндвич_batch_14,Сэндвич,Выпекание,362.0,384.0,22
Сэндвич_batch_11,Сэндвич,Комбинирование,365.0,386.0,21
Сэндвич_batch_12,Сэндвич,Формовка,371.0,382.0,11
Сэндвич_batch_12,Сэндвич,Расстойка,382.0,407.0,25
Сэндвич_batch_11,Сэндвич,Смешивание,386.0,396.0,10
Сэндвич_batch_13,Сэндвич,Выпекание,387.0,409.0,22
Сэндвич_batch_10,Сэндвич,Комбинирование,390.0,411.0,21
Сэндвич_batch_11,Сэндвич,Формовка,396.0,407.0,11
Хлеб «Тартин бездрожжевой»_batch_1,Хлеб «Тартин бездрожжевой»,Остывание,404.0,464.0,60
Сэндвич_batch_11,Сэндвич,Расстойка,407.0,432.0,25
Сэндвич_batch_10,Сэндвич,Смешивание,411.0,421.0,10
Сэндвич_batch_12,Сэндвич,Выпекание,412.0,434.0,22
Сэндвич_batch_9,Сэндвич,Комбинирование,415.0,436.0,21
Сэндвич_batch_10,Сэндвич,Формовка,421.0,432.0,11
Сэндвич_batch_10,Сэндвич,Расстойка,432.0,457.0,25
Сэндвич_batch_11,Сэндвич,Выпекание,435.0,457.0,22
Сэндвич_batch_9,Сэндвич,Смешивание,436.0,446.0,10
Сэндвич_batch_8,Сэндвич,Комбинирование,440.0,461.0,21
Сэндвич_batch_9,Сэндвич,Формовка,446.0,457.0,11
Сэндвич_batch_10,Сэндвич,Выпекание,457.0,479.0,22
Сэндвич_batch_9,Сэндвич,Расстойка,457.0,482.0,25
Сэндвич_batch_8,Сэндвич,Смешивание,461.0,471.0,10
Сэндвич_batch_19,Сэндвич,Остывание,464.0,509.0,45
Сэндвич_batch_7,Сэндвич,Комбинирование,465.0,486.0,21
Сэндвич_batch_8,Сэндвич,Формовка,471.0,482.0,11
Сэндвич_batch_8,Сэндвич,Расстойка,482.0,507.0,25
Сэндвич_batch_7,Сэндвич,Смешивание,486.0,496.0,10
Сэндвич_batch_9,Сэндвич,Выпекание,487.0,509.0,22
Сэндвич_batch_6,Сэндвич,Комбинирование,490.0,511.0,21
Сэндвич_batch_7,Сэндвич,Формовка,496.0,507.0,11
Сэндвич_batch_7,Сэндвич,Расстойка,507.0,532.0,25
Сэндвич_batch_18,Сэндвич,Остывание,509.0,554.0,45
Сэндвич_batch_8,Сэндвич,Выпекание,509.0,531.0,22
Сэндвич_batch_6,Сэндвич,Смешивание,511.0,521.0,10
Сэндвич_batch_5,Сэндвич,Комбинирование,512.0,533.0,21
Сэндвич_batch_6,Сэндвич,Формовка,521.0,532.0,11
Сэндвич_batch_6,Сэндвич,Расстойка,532.0,557.0,25
Сэндвич_batch_7,Сэндвич,Выпекание,532.0,554.0,22
Сэндвич_batch_4,Сэндвич,Комбинирование,533.0,554.0,21
Сэндвич_batch_5,Сэндвич,Смешивание,534.0,544.0,10
Сэндвич_batch_5,Сэндвич,Формовка,544.0,555.0,11
Сэндвич_batch_17,Сэндвич,Остывание,554.0,599.0,45
Сэндвич_batch_4,Сэндвич,Смешивание,555.0,565.0,10
Сэндвич_batch_5,Сэндвич,Расстойка,557.0,582.0,25
Сэндвич_batch_6,Сэндвич,Выпекание,557.0,579.0,22
Сэндвич_batch_3,Сэндвич,Комбинирование,559.0,580.0,21
Сэндвич_batch_4,Сэндвич,Формовка,566.0,577.0,11
Сэндвич_batch_3,Сэндвич,Смешивание,580.0,590.0,10
Сэндвич_batch_4,Сэндвич,Расстойка,582.0,607.0,25
Сэндвич_batch_2,Сэндвич,Комбинирование,583.0,604.0,21
Сэндвич_batch_5,Сэндвич,Выпекание,585.0,607.0,22
Сэндвич_batch_3,Сэндвич,Формовка,591.0,602.0,11
Сэндвич_batch_16,Сэндвич,Остывание,599.0,644.0,45
Сэндвич_batch_2,Сэндвич,Смешивание,605.0,615.0,10
Сэндвич_batch_3,Сэндвич,Расстойка,607.0,632.0,25
Сэндвич_batch_4,Сэндвич,Выпекание,607.0,629.0,22
Сэндвич_batch_1,Сэндвич,Комбинирование,613.0,634.0,21
Сэндвич_batch_2,Сэндвич,Формовка,616.0,627.0,11
Сэндвич_batch_2,Сэндвич,Расстойка,632.0,657.0,25
Зерновой Столичный_batch_1,Зерновой Столичный,Комбинирование,634.0,655.0,21
Сэндвич_batch_1,Сэндвич,Смешивание,635.0,645.0,10
Сэндвич_batch_3,Сэндвич,Выпекание,635.0,657.0,22
Сэндвич_batch_15,Сэндвич,Остывание,644.0,689.0,45
Сэндвич_batch_1,Сэндвич,Формовка,646.0,657.0,11
Зерновой Столичный_batch_1,Зерновой Столичный,Смешивание,656.0,666.0,10
Сэндвич_batch_1,Сэндвич,Расстойка,657.0,682.0,25
Сэндвич_batch_2,Сэндвич,Выпекание,657.0,679.0,22
