Batch_ID,Stage,Start_Time_Min,End_Time_Min,Duration_Min
Бородинский_batch_4,Комбинирование,0,21,21
Немецкий хлеб_batch_1,Комбинирование,0,4,4
Бородинский_batch_1,Комбинирование,4,25,21
Немецкий хлеб_batch_1,Смешивание,4,14,10
Немецкий хлеб_batch_1,Формовка,14,16,2
Немецкий хлеб_batch_1,Расстойка,16,41,25
Бородинский_batch_3,Комбинирование,21,42,21
Бородинский_batch_4,Смешивание,21,31,10
Бородинский_batch_1,Смешивание,25,35,10
Бородинский_batch_2,Комбинирование,25,46,21
Бородинский_batch_4,Формовка,31,42,11
Бородинский_batch_1,Формовка,35,46,11
Немецкий хлеб_batch_1,Выпекание,41,66,25
Бородинский_batch_3,Смешивание,42,52,10
Бородинский_batch_4,Расстойка,42,62,20
Бородинский_batch_5,Комбинирование,42,61,19
Бородинский_batch_1,Расстойка,46,66,20
Бородинский_batch_2,Смешивание,46,56,10
Диета_batch_1,Комбинирование,46,67,21
Бородинский_batch_3,Формовка,52,63,11
Бородинский_batch_2,Формовка,56,67,11
Бородинский_batch_5,Смешивание,61,71,10
Диета_batch_2,Комбинирование,61,82,21
Бородинский_batch_4,Выпекание,62,117,55
Бородинский_batch_3,Расстойка,63,83,20
Бородинский_batch_1,Выпекание,66,121,55
Немецкий хлеб_batch_1,Остывание,66,141,75
Бородинский_batch_2,Расстойка,67,87,20
Диета_batch_1,Смешивание,67,77,10
Формовой_batch_19,Комбинирование,67,88,21
Бородинский_batch_5,Формовка,71,81,10
Диета_batch_1,Формовка,77,88,11
Бородинский_batch_5,Расстойка,81,101,20
Диета_batch_2,Смешивание,82,92,10
Мини формовой_batch_1,Комбинирование,82,103,21
Бородинский_batch_3,Выпекание,83,138,55
Бородинский_batch_2,Выпекание,87,142,55
Диета_batch_1,Расстойка,88,126,38
Формовой_batch_13,Комбинирование,88,109,21
Формовой_batch_19,Смешивание,88,100,12
Диета_batch_2,Формовка,92,103,11
Формовой_batch_19,Формовка,100,111,11
Бородинский_batch_5,Выпекание,101,156,55
Диета_batch_2,Расстойка,103,141,38
Мини формовой_batch_1,Смешивание,103,115,12
Формовой_batch_17,Комбинирование,103,124,21
Формовой_batch_13,Смешивание,109,121,12
Формовой_batch_16,Комбинирование,109,130,21
Формовой_batch_19,Расстойка,111,136,25
Мини формовой_batch_1,Формовка,115,126,11
Бородинский_batch_4,Остывание,117,237,120
Бородинский_batch_1,Остывание,121,241,120
Формовой_batch_13,Формовка,121,132,11
Формовой_batch_11,Комбинирование,124,145,21
Формовой_batch_17,Смешивание,124,136,12
Диета_batch_1,Выпекание,126,161,35
Мини формовой_batch_1,Расстойка,126,151,25
Формовой_batch_16,Смешивание,130,142,12
Формовой_batch_5,Комбинирование,130,151,21
Формовой_batch_13,Расстойка,132,157,25
Формовой_batch_17,Формовка,136,147,11
Формовой_batch_19,Выпекание,136,181,45
Бородинский_batch_3,Остывание,138,258,120
Диета_batch_2,Выпекание,141,176,35
Бородинский_batch_2,Остывание,142,262,120
Формовой_batch_16,Формовка,142,153,11
Формовой_batch_11,Смешивание,145,157,12
Формовой_batch_4,Комбинирование,145,166,21
Формовой_batch_17,Расстойка,147,172,25
Мини формовой_batch_1,Выпекание,151,196,45
Формовой_batch_14,Комбинирование,151,172,21
Формовой_batch_5,Смешивание,151,163,12
Формовой_batch_16,Расстойка,153,178,25
Бородинский_batch_5,Остывание,156,276,120
Формовой_batch_11,Формовка,157,168,11
Формовой_batch_13,Выпекание,157,202,45
Диета_batch_1,Остывание,161,251,90
Формовой_batch_5,Формовка,163,174,11
Формовой_batch_15,Комбинирование,166,187,21
Формовой_batch_4,Смешивание,166,178,12
Формовой_batch_11,Расстойка,168,193,25
Формовой_batch_14,Смешивание,172,184,12
Формовой_batch_17,Выпекание,172,217,45
Формовой_batch_9,Комбинирование,172,193,21
Формовой_batch_5,Расстойка,174,199,25
Диета_batch_2,Остывание,176,266,90
Формовой_batch_16,Выпекание,178,223,45
Формовой_batch_4,Формовка,178,189,11
Формовой_batch_19,Остывание,181,271,90
Формовой_batch_14,Формовка,184,195,11
Формовой_batch_15,Смешивание,187,199,12
Формовой_batch_2,Комбинирование,187,208,21
Формовой_batch_4,Расстойка,189,214,25
Формовой_batch_11,Выпекание,193,238,45
Формовой_batch_18,Комбинирование,193,214,21
Формовой_batch_9,Смешивание,193,205,12
Формовой_batch_14,Расстойка,195,220,25
Мини формовой_batch_1,Остывание,196,286,90
Формовой_batch_15,Формовка,199,210,11
Формовой_batch_5,Выпекание,199,244,45
Формовой_batch_13,Остывание,202,292,90
Формовой_batch_9,Формовка,205,216,11
Формовой_batch_12,Комбинирование,208,229,21
Формовой_batch_2,Смешивание,208,220,12
Формовой_batch_15,Расстойка,210,235,25
Формовой_batch_1,Комбинирование,214,235,21
Формовой_batch_18,Смешивание,214,226,12
Формовой_batch_4,Выпекание,214,259,45
Формовой_batch_9,Расстойка,216,241,25
Формовой_batch_17,Остывание,217,307,90
Формовой_batch_14,Выпекание,220,265,45
Формовой_batch_2,Формовка,220,231,11
Формовой_batch_16,Остывание,223,313,90
Формовой_batch_18,Формовка,226,237,11
Мини формовой_batch_2,Комбинирование,229,250,21
Формовой_batch_12,Смешивание,229,241,12
Формовой_batch_2,Расстойка,231,256,25
Формовой_batch_1,Смешивание,235,247,12
Формовой_batch_15,Выпекание,235,280,45
Формовой_batch_7,Комбинирование,235,256,21
Формовой_batch_18,Расстойка,237,262,25
Формовой_batch_11,Остывание,238,328,90
Формовой_batch_12,Формовка,241,252,11
Формовой_batch_9,Выпекание,241,286,45
Формовой_batch_5,Остывание,244,334,90
