Batch_ID,Stage,Start_Time_Min,End_Time_Min,Duration_Min
Булочка для гамбургера большой с кунжутом_batch_12,Комбинирование,0,5,5
Славянский_batch_1,Комбинирование,0,2,2
Домашний_batch_1,Комбинирование,2,5,3
Славянский_batch_1,Смешивание,2,12,10
Багет новый_batch_4,Комбинирование,5,8,3
Булочка для гамбургера большой с кунжутом_batch_12,Смешивание,5,15,10
Домашний_batch_1,Смешивание,5,15,10
Семейный_batch_1,Комбинирование,5,26,21
Немецкий хлеб_batch_1,Комбинирование,8,11,3
Сэндвич_batch_33,Комбинирование,11,32,21
Багет новый_batch_4,Смешивание,12,22,10
Славянский_batch_1,Формовка,12,13,1
Славянский_batch_1,Расстойка,13,38,25
Булочка для гамбургера большой с кунжутом_batch_12,Формовка,15,18,3
Домашний_batch_1,Формовка,15,17,2
Немецкий хлеб_batch_1,Смешивание,15,25,10
Домашний_batch_1,Расстойка,17,42,25
Булочка для гамбургера большой с кунжутом_batch_12,Расстойка,18,43,25
Багет новый_batch_4,Формовка,22,24,2
Багет новый_batch_4,Расстойка,24,49,25
Немецкий хлеб_batch_1,Формовка,25,27,2
Булочка для хотдога штучно_batch_1,Комбинирование,26,47,21
Семейный_batch_1,Смешивание,26,36,10
Немецкий хлеб_batch_1,Расстойка,27,52,25
Сэндвич_batch_3,Комбинирование,32,53,21
Сэндвич_batch_33,Смешивание,32,42,10
Семейный_batch_1,Формовка,36,47,11
Славянский_batch_1,Выпекание,38,55,17
Домашний_batch_1,Выпекание,42,59,17
Сэндвич_batch_33,Формовка,42,53,11
Булочка для гамбургера большой с кунжутом_batch_12,Выпекание,43,65,22
Батон Верный_batch_1,Комбинирование,47,56,9
Булочка для хотдога штучно_batch_1,Смешивание,47,57,10
Семейный_batch_1,Расстойка,47,72,25
Багет новый_batch_4,Выпекание,49,74,25
Немецкий хлеб_batch_1,Выпекание,52,77,25
Сэндвич_batch_3,Смешивание,53,63,10
Сэндвич_batch_33,Расстойка,53,78,25
Сэндвич_batch_5,Комбинирование,53,74,21
Славянский_batch_1,Остывание,55,115,60
Батон Верный_batch_1,Смешивание,56,66,10
Чиабатта_batch_1,Комбинирование,56,61,5
Булочка для хотдога штучно_batch_1,Формовка,57,68,11
Домашний_batch_1,Остывание,59,119,60
Сэндвич_batch_36,Комбинирование,61,82,21
Сэндвич_batch_3,Формовка,63,74,11
Чиабатта_batch_1,Смешивание,63,73,10
Булочка для гамбургера большой с кунжутом_batch_12,Остывание,65,110,45
Батон Верный_batch_1,Формовка,68,73,5
Булочка для хотдога штучно_batch_1,Расстойка,68,93,25
Семейный_batch_1,Выпекание,72,89,17
Батон Верный_batch_1,Расстойка,73,98,25
Багет новый_batch_4,Остывание,74,149,75
Плетенка_batch_1,Комбинирование,74,95,21
Сэндвич_batch_3,Расстойка,74,99,25
Сэндвич_batch_5,Смешивание,74,84,10
Чиабатта_batch_1,Формовка,74,77,3
Немецкий хлеб_batch_1,Остывание,77,152,75
Чиабатта_batch_1,Расстойка,77,102,25
Сэндвич_batch_33,Выпекание,78,100,22
Сэндвич_batch_36,Смешивание,82,92,10
Формовой_batch_18,Комбинирование,82,103,21
Сэндвич_batch_5,Формовка,84,95,11
Семейный_batch_1,Остывание,89,149,60
Сэндвич_batch_36,Формовка,92,103,11
Булочка для хотдога штучно_batch_1,Выпекание,93,115,22
Плетенка_batch_1,Смешивание,95,105,10
Сэндвич_batch_5,Расстойка,95,120,25
Формовой_batch_16,Комбинирование,95,116,21
Батон Верный_batch_1,Выпекание,98,115,17
Сэндвич_batch_3,Выпекание,99,121,22
Сэндвич_batch_33,Остывание,100,145,45
Чиабатта_batch_1,Выпекание,102,127,25
Мини формовой_batch_4,Комбинирование,103,122,19
Сэндвич_batch_36,Расстойка,103,128,25
Формовой_batch_18,Смешивание,103,115,12
Плетенка_batch_1,Формовка,105,116,11
Батон Верный_batch_1,Остывание,115,175,60
Булочка для хотдога штучно_batch_1,Остывание,115,160,45
Формовой_batch_18,Формовка,115,126,11
Плетенка_batch_1,Расстойка,116,141,25
Сэндвич_batch_23,Комбинирование,116,137,21
Формовой_batch_16,Смешивание,116,128,12
Сэндвич_batch_5,Выпекание,120,142,22
Сэндвич_batch_3,Остывание,121,166,45
Бородинский_batch_3,Комбинирование,122,143,21
Мини формовой_batch_4,Смешивание,122,134,12
Формовой_batch_18,Расстойка,126,151,25
Чиабатта_batch_1,Остывание,127,202,75
Сэндвич_batch_36,Выпекание,128,150,22
Формовой_batch_16,Формовка,128,139,11
Мини формовой_batch_4,Формовка,134,144,10
Плетенка_batch_2,Комбинирование,137,148,11
Сэндвич_batch_23,Смешивание,137,147,10
Формовой_batch_16,Расстойка,139,164,25
Плетенка_batch_1,Выпекание,141,158,17
Сэндвич_batch_5,Остывание,142,187,45
Бородинский_batch_3,Смешивание,143,153,10
Любимый_batch_8,Комбинирование,143,154,11
Мини формовой_batch_4,Расстойка,144,169,25
Сэндвич_batch_23,Формовка,147,158,11
Отрубной (общий)_batch_3,Комбинирование,148,168,20
Плетенка_batch_2,Смешивание,148,158,10
Сэндвич_batch_36,Остывание,150,195,45
Формовой_batch_18,Выпекание,151,196,45
Бородинский_batch_3,Формовка,153,164,11
Баварский Деревенский Ржаной_batch_1,Комбинирование,154,157,3
Любимый_batch_8,Смешивание,154,164,10
Сэндвич_batch_9,Комбинирование,157,178,21
Баварский Деревенский Ржаной_batch_1,Смешивание,158,168,10
Плетенка_batch_1,Остывание,158,218,60
Плетенка_batch_2,Формовка,158,164,6
Сэндвич_batch_23,Расстойка,158,183,25
Бородинский_batch_3,Расстойка,164,184,20
Любимый_batch_8,Формовка,164,170,6
Плетенка_batch_2,Расстойка,164,189,25
Формовой_batch_16,Выпекание,164,209,45
Отрубной (общий)_batch_3,Смешивание,168,178,10
Сэндвич_batch_24,Комбинирование,168,189,21
Мини формовой_batch_4,Выпекание,169,214,45
Баварский Деревенский Ржаной_batch_1,Формовка,170,172,2
Любимый_batch_8,Расстойка,170,195,25
Баварский Деревенский Ржаной_batch_1,Расстойка,172,202,30
Багет отрубной_batch_1,Комбинирование,178,194,16
Отрубной (общий)_batch_3,Формовка,178,189,11
Сэндвич_batch_9,Смешивание,178,188,10
Сэндвич_batch_23,Выпекание,183,205,22
Бородинский_batch_3,Выпекание,184,239,55
Сэндвич_batch_9,Формовка,188,199,11
Отрубной (общий)_batch_3,Расстойка,189,214,25
Плетенка_batch_2,Выпекание,189,206,17
Сэндвич_batch_1,Комбинирование,189,210,21
Сэндвич_batch_24,Смешивание,189,199,10
Багет отрубной_batch_1,Смешивание,194,204,10
Премиум_batch_1,Комбинирование,194,197,3
Любимый_batch_8,Выпекание,196,213,17
Формовой_batch_18,Остывание,196,286,90
Батон Нарезной_batch_2,Комбинирование,197,218,21
Премиум_batch_1,Смешивание,199,209,10
Сэндвич_batch_24,Формовка,199,210,11
Сэндвич_batch_9,Расстойка,199,224,25
Багет отрубной_batch_1,Формовка,204,212,8
Сэндвич_batch_23,Остывание,205,250,45
Баварский Деревенский Ржаной_batch_1,Выпекание,206,224,18
Плетенка_batch_2,Остывание,206,266,60
Формовой_batch_16,Остывание,209,299,90
Сэндвич_batch_1,Смешивание,210,220,10
Сэндвич_batch_24,Расстойка,210,235,25
Сэндвич_batch_25,Комбинирование,210,231,21
Багет отрубной_batch_1,Расстойка,212,237,25
Премиум_batch_1,Формовка,212,214,2
Любимый_batch_8,Остывание,213,273,60
Мини формовой_batch_4,Остывание,214,304,90
Отрубной (общий)_batch_3,Выпекание,214,231,17
Премиум_batch_1,Расстойка,214,239,25
Батон Нарезной_batch_2,Смешивание,218,228,10
Любимый_batch_4,Комбинирование,218,239,21
Сэндвич_batch_1,Формовка,220,231,11
Баварский Деревенский Ржаной_batch_1,Остывание,224,314,90
Сэндвич_batch_9,Выпекание,224,246,22
Батон Нарезной_batch_2,Формовка,228,239,11
Отрубной (общий)_batch_3,Остывание,231,291,60
Сэндвич_batch_1,Расстойка,231,256,25
Сэндвич_batch_25,Смешивание,231,241,10
Сэндвич_batch_31,Комбинирование,231,252,21
Сэндвич_batch_24,Выпекание,235,257,22
Багет отрубной_batch_1,Выпекание,237,255,18
Батон Нарезной_batch_2,Расстойка,239,264,25
Бородинский_batch_3,Остывание,239,359,120
Любимый_batch_4,Смешивание,239,249,10
