Batch_ID,Stage,Start_Time_Min,End_Time_Min,Duration_Min
Хлеб «Бородинский»_batch_1,Комбинирование,0,21,21
Хлеб «Бородинский»_batch_3,Комбинирование,0,21,21
Хлеб «Бородинский»_batch_1,Смешивание,21,31,10
Хлеб «Бородинский»_batch_2,Комбинирование,21,42,21
Хлеб «Бородинский»_batch_3,Смешивание,21,31,10
Хлеб «Бородинский»_batch_4,Комбинирование,21,42,21
Хлеб «Бородинский»_batch_1,Формовка,31,42,11
Хлеб «Бородинский»_batch_3,Формовка,31,42,11
Хлеб «Бородинский»_batch_1,Расстойка,42,62,20
Хлеб «Бородинский»_batch_2,Смешивание,42,52,10
Хлеб «Бородинский»_batch_3,Расстойка,42,62,20
Хлеб «Бородинский»_batch_4,Смешивание,42,52,10
Хлеб «Мини Формовой»_batch_1,Комбинирование,42,63,21
Хлеб «Формовой»_batch_5,Комбинирование,42,63,21
Хлеб «Бородинский»_batch_2,Формовка,52,63,11
Хлеб «Бородинский»_batch_4,Формовка,52,63,11
Хлеб «Бородинский»_batch_1,Выпекание,62,117,55
Хлеб «Бородинский»_batch_3,Выпекание,62,117,55
Хлеб «Бородинский»_batch_2,Расстойка,63,83,20
Хлеб «Бородинский»_batch_4,Расстойка,63,83,20
Хлеб «Мини Формовой»_batch_1,Смешивание,63,75,12
Хлеб «Формовой»_batch_1,Комбинирование,63,84,21
Хлеб «Формовой»_batch_2,Комбинирование,63,84,21
Хлеб «Формовой»_batch_5,Смешивание,63,75,12
Хлеб «Мини Формовой»_batch_1,Формовка,75,86,11
Хлеб «Формовой»_batch_5,Формовка,75,86,11
Хлеб «Бородинский»_batch_2,Выпекание,83,138,55
Хлеб «Бородинский»_batch_4,Выпекание,83,138,55
Хлеб «Формовой»_batch_1,Смешивание,84,96,12
Хлеб «Формовой»_batch_2,Смешивание,84,96,12
Хлеб «Формовой»_batch_3,Комбинирование,84,105,21
Хлеб «Формовой»_batch_4,Комбинирование,84,105,21
Хлеб «Мини Формовой»_batch_1,Расстойка,86,111,25
Хлеб «Формовой»_batch_5,Расстойка,86,111,25
Хлеб «Формовой»_batch_1,Формовка,96,107,11
Хлеб «Формовой»_batch_2,Формовка,96,107,11
Хлеб «Диетический»_batch_1,Комбинирование,105,121,16
Хлеб «Мини Формовой»_batch_2,Комбинирование,105,126,21
Хлеб «Формовой»_batch_3,Смешивание,105,117,12
Хлеб «Формовой»_batch_4,Смешивание,105,117,12
Хлеб «Формовой»_batch_1,Расстойка,107,132,25
Хлеб «Формовой»_batch_2,Расстойка,107,132,25
Хлеб «Мини Формовой»_batch_1,Выпекание,111,156,45
Хлеб «Формовой»_batch_5,Выпекание,111,156,45
Хлеб «Бородинский»_batch_1,Остывание,117,237,120
Хлеб «Бородинский»_batch_3,Остывание,117,237,120
Хлеб «Формовой»_batch_3,Формовка,117,128,11
Хлеб «Формовой»_batch_4,Формовка,117,128,11
Хлеб «Бородинский»_batch_5,Комбинирование,121,124,3
Хлеб «Диетический»_batch_1,Смешивание,121,131,10
Хлеб «Бородинский»_batch_5,Смешивание,124,134,10
Хлеб Ржаной_batch_1,Комбинирование,124,145,21
Хлеб «Мини Формовой»_batch_2,Смешивание,126,138,12
Хлеб «Мини Формовой»_batch_3,Комбинирование,126,131,5
Хлеб «Формовой»_batch_3,Расстойка,128,153,25
Хлеб «Формовой»_batch_4,Расстойка,128,153,25
Хлеб «Диетический»_batch_1,Формовка,131,140,9
Хлеб «Мини Формовой»_batch_3,Смешивание,131,143,12
Хлеб Ржаной_batch_2,Комбинирование,131,142,11
Хлеб «Формовой»_batch_1,Выпекание,132,177,45
Хлеб «Формовой»_batch_2,Выпекание,132,177,45
Хлеб «Бородинский»_batch_5,Формовка,134,136,2
Хлеб «Бородинский»_batch_5,Расстойка,136,156,20
Хлеб «Бородинский»_batch_2,Остывание,138,258,120
Хлеб «Бородинский»_batch_4,Остывание,138,258,120
Хлеб «Мини Формовой»_batch_2,Формовка,138,149,11
