Batch_ID,Stage,Start_Time_Min,End_Time_Min,Duration_Min
Мини формовой_batch_25,Комбинирование,0,21,21
Мини формовой_batch_26,Комбинирование,0,21,21
Бородинский_batch_28,Комбинирование,21,42,21
Мини формовой_batch_25,Смешивание,21,33,12
Мини формовой_batch_26,Смешивание,21,33,12
Мини формовой_batch_27,Комбинирование,21,33,12
Бородинский_batch_29,Комбинирование,33,54,21
Мини формовой_batch_25,Формовка,33,44,11
Мини формовой_batch_26,Формовка,33,44,11
Мини формовой_batch_27,Смешивание,33,45,12
Бородинский_batch_28,Смешивание,42,52,10
Бородинский_batch_30,Комбинирование,42,63,21
Мини формовой_batch_25,Расстойка,44,69,25
Мини формовой_batch_26,Расстойка,44,69,25
Мини формовой_batch_27,Формовка,45,51,6
Мини формовой_batch_27,Расстойка,51,76,25
Бородинский_batch_28,Формовка,52,63,11
Бородинский_batch_29,Смешивание,54,64,10
Бородинский_batch_31,Комбинирование,54,75,21
Бородинский_batch_28,Расстойка,63,83,20
Бородинский_batch_30,Смешивание,63,73,10
Бородинский_batch_32,Комбинирование,63,84,21
Бородинский_batch_29,Формовка,64,75,11
Мини формовой_batch_25,Выпекание,69,114,45
Мини формовой_batch_26,Выпекание,69,114,45
Бородинский_batch_30,Формовка,73,84,11
Бородинский_batch_29,Расстойка,75,95,20
Бородинский_batch_31,Смешивание,75,85,10
Бородинский_batch_33,Комбинирование,75,82,7
Мини формовой_batch_27,Выпекание,76,121,45
Бородинский_batch_33,Смешивание,82,92,10
Домашний_batch_34,Комбинирование,82,85,3
Бородинский_batch_28,Выпекание,83,138,55
Багет луковый_batch_35,Комбинирование,84,95,11
Бородинский_batch_30,Расстойка,84,104,20
Бородинский_batch_32,Смешивание,84,94,10
Багет новый_batch_36,Комбинирование,85,106,21
Бородинский_batch_31,Формовка,85,96,11
Домашний_batch_34,Смешивание,85,95,10
Бородинский_batch_33,Формовка,92,96,4
Багет луковый_batch_35,Смешивание,95,105,10
Багет новый_batch_37,Комбинирование,95,116,21
Бородинский_batch_29,Выпекание,95,150,55
Бородинский_batch_31,Расстойка,96,116,20
Бородинский_batch_32,Формовка,96,107,11
Бородинский_batch_33,Расстойка,96,116,20
Домашний_batch_34,Формовка,96,98,2
Домашний_batch_34,Расстойка,98,123,25
Бородинский_batch_30,Выпекание,104,159,55
Багет луковый_batch_35,Формовка,105,111,6
Багет новый_batch_36,Смешивание,106,116,10
Багет новый_batch_38,Комбинирование,106,122,16
Бородинский_batch_32,Расстойка,107,127,20
Багет луковый_batch_35,Расстойка,111,131,20
Мини формовой_batch_25,Остывание,114,204,90
Мини формовой_batch_26,Остывание,114,204,90
Багет новый_batch_36,Формовка,116,127,11
Багет новый_batch_37,Смешивание,116,126,10
Багет отрубной_batch_39,Комбинирование,116,127,11
Бородинский_batch_31,Выпекание,116,171,55
Бородинский_batch_33,Выпекание,116,171,55
Мини формовой_batch_27,Остывание,121,211,90
Багет новый_batch_38,Смешивание,122,132,10
Премиум_batch_40,Комбинирование,122,125,3
Домашний_batch_34,Выпекание,123,140,17
Батон Верный_batch_41,Комбинирование,125,136,11
Премиум_batch_40,Смешивание,125,135,10
Багет новый_batch_37,Формовка,126,137,11
Багет новый_batch_36,Расстойка,127,152,25
Багет отрубной_batch_39,Смешивание,127,137,10
Батон Нарезной_batch_44,Комбинирование,127,148,21
Багет новый_batch_38,Формовка,132,141,9
Батон Верный_batch_41,Смешивание,136,146,10
Батон Нарезной_batch_45,Комбинирование,136,155,19
Багет новый_batch_37,Расстойка,137,162,25
Премиум_batch_40,Формовка,137,139,2
Бородинский_batch_28,Остывание,138,258,120
Бородинский_batch_32,Выпекание,138,193,55
Багет отрубной_batch_39,Формовка,139,145,6
Премиум_batch_40,Расстойка,139,164,25
