Batch_ID,Stage,Start_Time_Min,End_Time_Min,Duration_Min
Бородинский_batch_1,Комбинирование,0.0,21.0,21
Бородинский_batch_1,Смешивание,21.0,31.0,10
Формовой_batch_1,Комбинирование,21.0,42.0,21
Бородинский_batch_1,Формовка,31.0,42.0,11
Багет луковый_batch_1,Комбинирование,42.0,63.0,21
Бородинский_batch_1,Расстойка,42.0,62.0,20
Формовой_batch_1,Смешивание,57.0,69.0,12
Бородинский_batch_1,Выпекание,62.0,117.0,55
Багет луковый_batch_1,Смешивание,63.0,73.0,10
Домашний_batch_1,Комбинирование,63.0,84.0,21
Формовой_batch_1,Формовка,71.0,82.0,11
Багет луковый_batch_1,Формовка,73.0,84.0,11
Формовой_batch_1,Расстойка,82.0,107.0,25
Багет луковый_batch_1,Расстойка,84.0,104.0,20
Домашний_batch_1,Смешивание,84.0,94.0,10
Домашний_batch_1,Формовка,94.0,105.0,11
Багет луковый_batch_1,Выпекание,104.0,122.0,18
Домашний_batch_1,Расстойка,105.0,130.0,25
Формовой_batch_1,Выпекание,107.0,152.0,45
Бородинский_batch_1,Остывание,117.0,237.0,120
Багет луковый_batch_1,Остывание,122.0,167.0,45
Домашний_batch_1,Выпекание,130.0,147.0,17
Домашний_batch_1,Остывание,147.0,207.0,60
Формовой_batch_1,Остывание,152.0,242.0,90
Багет луковый_batch_1,Упаковка,167.0,177.0,10
Домашний_batch_1,Упаковка,207.0,217.0,10
Бородинский_batch_1,Упаковка,237.0,252.0,15
Формовой_batch_1,Упаковка,242.0,252.0,10
