Batch_ID,Stage,Start_Time_Min,End_Time_Min,Duration_Min
Багет новый_batch_3,Комбинирование,0,4,4
Бородинский_batch_2,Комбинирование,0,21,21
Багет новый_batch_3,Смешивание,4,14,10
Хлеб «Зерновой»_batch_2,Комбинирование,4,7,3
Бородинский_batch_4,Комбинирование,7,28,21
Хлеб «Зерновой»_batch_2,Смешивание,7,17,10
Багет новый_batch_3,Формовка,14,17,3
Багет новый_batch_3,Расстойка,17,42,25
Хлеб «Зерновой»_batch_2,Формовка,17,19,2
Хлеб «Зерновой»_batch_2,Расстойка,19,44,25
Бородинский_batch_2,Смешивание,21,31,10
Диета_batch_1,Комбинирование,21,42,21
Бородинский_batch_4,Смешивание,28,38,10
Диета_batch_2,Комбинирование,28,49,21
Бородинский_batch_2,Формовка,31,42,11
Бородинский_batch_4,Формовка,38,49,11
Багет новый_batch_3,Выпекание,42,67,25
Бородинский_batch_2,Расстойка,42,62,20
Бородинский_batch_5,Комбинирование,42,61,19
Диета_batch_1,Смешивание,42,52,10
Хлеб «Зерновой»_batch_2,Выпекание,44,69,25
Бородинский_batch_4,Расстойка,49,69,20
Диета_batch_2,Смешивание,49,59,10
Формовой_batch_9,Комбинирование,49,70,21
Диета_batch_1,Формовка,52,63,11
Диета_batch_2,Формовка,59,70,11
Бородинский_batch_5,Смешивание,61,71,10
Формовой_batch_4,Комбинирование,61,82,21
Бородинский_batch_2,Выпекание,62,117,55
Диета_batch_1,Расстойка,66,104,38
Багет новый_batch_3,Остывание,67,142,75
Бородинский_batch_4,Выпекание,69,124,55
Хлеб «Зерновой»_batch_2,Остывание,69,144,75
Диета_batch_2,Расстойка,70,108,38
Формовой_batch_16,Комбинирование,70,91,21
Формовой_batch_9,Смешивание,70,82,12
Бородинский_batch_5,Формовка,71,81,10
Бородинский_batch_5,Расстойка,81,101,20
Формовой_batch_11,Комбинирование,82,103,21
Формовой_batch_4,Смешивание,82,94,12
Формовой_batch_9,Формовка,82,93,11
Формовой_batch_16,Смешивание,91,103,12
Формовой_batch_5,Комбинирование,91,112,21
Формовой_batch_9,Расстойка,93,118,25
Формовой_batch_4,Формовка,94,105,11
Бородинский_batch_5,Выпекание,101,156,55
Формовой_batch_11,Смешивание,103,115,12
Формовой_batch_15,Комбинирование,103,124,21
Формовой_batch_16,Формовка,103,114,11
Формовой_batch_4,Расстойка,105,130,25
Диета_batch_2,Выпекание,108,143,35
Диета_batch_1,Выпекание,109,144,35
Формовой_batch_19,Комбинирование,112,133,21
Формовой_batch_5,Смешивание,112,124,12
Формовой_batch_16,Расстойка,114,139,25
Формовой_batch_11,Формовка,115,126,11
Бородинский_batch_2,Остывание,117,237,120
Формовой_batch_9,Выпекание,118,163,45
Бородинский_batch_4,Остывание,124,244,120
Мини формовой_batch_2,Комбинирование,124,145,21
Формовой_batch_15,Смешивание,124,136,12
Формовой_batch_5,Формовка,124,135,11
Формовой_batch_11,Расстойка,126,151,25
Формовой_batch_4,Выпекание,130,175,45
Формовой_batch_10,Комбинирование,133,154,21
Формовой_batch_19,Смешивание,133,145,12
Формовой_batch_5,Расстойка,135,160,25
Формовой_batch_15,Формовка,136,147,11
Формовой_batch_16,Выпекание,139,184,45
Диета_batch_2,Остывание,143,233,90
Диета_batch_1,Остывание,144,234,90
Мини формовой_batch_2,Смешивание,145,157,12
Формовой_batch_1,Комбинирование,145,166,21
Формовой_batch_19,Формовка,145,156,11
Формовой_batch_15,Расстойка,147,172,25
Формовой_batch_11,Выпекание,151,196,45
Формовой_batch_10,Смешивание,154,166,12
Формовой_batch_7,Комбинирование,154,175,21
Бородинский_batch_5,Остывание,156,276,120
Формовой_batch_19,Расстойка,156,181,25
Мини формовой_batch_2,Формовка,157,168,11
Формовой_batch_5,Выпекание,160,205,45
