Batch_ID,Stage,Start_Time_Min,End_Time_Min,Duration_Min
Багет с луком_batch_5,Combination,0,5,5
Хлеб «Формовой»_batch_6,Combination,0,6,6
Хлеб «Гречишный»_batch_4,Combination,2,3,1
Хлеб «Гречишный»_batch_4,Mixing,3,14,11
Багет с луком_batch_5,Mixing,5,16,11
Хлеб «Формовой»_batch_6,Mixing,6,15,9
Хлеб «Формовой»_batch_5,Combination,7,17,10
Хлеб «Формовой»_batch_2,Combination,8,18,10
Хлеб «Гречишный»_batch_4,Molding,14,16,2
Хлеб «Формовой»_batch_6,Molding,15,28,13
Багет с луком_batch_5,Molding,16,26,10
Хлеб «Формовой»_batch_5,Mixing,17,26,9
Хлеб «Гречишный»_batch_4,Proofing,19,64,45
Хлеб «Формовой»_batch_2,Mixing,19,28,9
Хлеб «Формовой»_batch_5,Molding,26,49,23
Хлеб «Формовой»_batch_2,Molding,28,51,23
Хлеб «Формовой»_batch_6,Proofing,28,73,45
Багет с луком_batch_5,Proofing,31,76,45
Багет с луком_batch_1,Combination,32,37,5
Хлеб «Формовой»_batch_3,Combination,32,42,10
Багет с луком_batch_1,Mixing,37,48,11
Багет с луком_batch_6,Combination,39,40,1
Багет с луком_batch_2,Combination,40,45,5
Багет с луком_batch_6,Mixing,40,51,11
Хлеб «Формовой»_batch_3,Mixing,42,51,9
Багет с луком_batch_2,Mixing,48,59,11
Багет с луком_batch_1,Molding,49,59,10
Хлеб «Формовой»_batch_1,Combination,49,59,10
Хлеб «Формовой»_batch_4,Combination,50,60,10
Багет с луком_batch_6,Molding,51,53,2
Хлеб «Формовой»_batch_2,Proofing,51,96,45
Багет с луком_batch_3,Combination,52,57,5
Багет с луком_batch_6,Proofing,53,98,45
Хлеб «Формовой»_batch_3,Molding,53,76,23
Хлеб «Формовой»_batch_5,Proofing,53,98,45
Багет с луком_batch_3,Mixing,57,68,11
Багет с луком_batch_2,Molding,59,69,10
Багет с луком_batch_1,Proofing,60,105,45
Хлеб «Формовой»_batch_4,Mixing,63,72,9
Лепешка с сыром и луком_batch_5,Combination,64,65,1
Хлеб «Гречишный»_batch_4,Baking,64,86,22
Лепешка с сыром и луком_batch_5,Mixing,65,76,11
Хлеб «Формовой»_batch_1,Mixing,68,77,9
Багет с луком_batch_2,Proofing,69,114,45
Багет с луком_batch_3,Molding,69,79,10
Хлеб «Гречишный»_batch_3,Combination,69,74,5
Багет с луком_batch_4,Combination,71,76,5
Хлеб «Формовой»_batch_6,Baking,73,120,47
Лепешка с сыром и луком_batch_5,Molding,76,77,1
Хлеб «Формовой»_batch_3,Proofing,76,121,45
Хлеб «Формовой»_batch_4,Molding,77,100,23
Багет с луком_batch_5,Baking,78,105,27
Хлеб «Гречишный»_batch_1,Combination,79,84,5
Хлеб «Формовой»_batch_1,Molding,79,102,23
Лепешка с сыром и луком_batch_4,Combination,82,87,5
Лепешка с сыром и луком_batch_5,Proofing,82,97,15
Багет с луком_batch_3,Proofing,83,128,45
Хлеб «Гречишный»_batch_3,Mixing,84,95,11
Багет с луком_batch_4,Mixing,86,97,11
Хлеб «Гречишный»_batch_4,Cooling,86,106,20
